x,y,theta,mag,J,min_J
-3,-3,0,0.5,0.9240863454684223,0.878452908698212
-3,-3,0,1.0,0.9968470838924698,0.994957892450306
-3,-3,0,1.5,1.0861235968913967,0.9519196619743735
-3,-3,0,2.0,1.1866879366115604,0.8543089586287282
-3,-3,0,2.5,1.2817906076383416,0.7831489763217911
-3,-3,0,3.0,1.3536536078021988,0.6223968714406676
-3,-3,0,3.5,1.4441606145597885,0.5315137409631754
-3,-3,0,4.0,1.4614966371103306,0.34273761919390977
-3,-3,0,4.5,1.5387617974805927,0.2338829557023221
-3,-3,0,5.0,1.4980100367701,0.016353289874785126
-3,-3,10,0.5,0.9129184641028052,0.8807980091774066
-3,-3,10,1.0,1.0085101285744393,0.9833336461853093
-3,-3,10,1.5,1.1044126586866274,0.9229506394436299
-3,-3,10,2.0,1.1754373204692383,0.8117366331259405
-3,-3,10,2.5,1.207247409084279,0.6725658956661922
-3,-3,10,3.0,1.2063948543671454,0.5133770114779271
-3,-3,10,3.5,1.4820823144444688,0.7989000679757371
-3,-3,10,4.0,1.6945957859229552,0.7039911653654967
-3,-3,10,4.5,1.9072010262309809,0.6029228455258383
-3,-3,10,5.0,1.838397411260886,0.28312646518838375
-3,-3,20,0.5,0.9141342223778502,0.879984682012602
-3,-3,20,1.0,1.0168459374052181,0.9621348782979003
-3,-3,20,1.5,1.0794864756493345,0.9360897579659879
-3,-3,20,2.0,1.1111443719913858,0.8120807136332217
-3,-3,20,2.5,1.3481386576148184,0.8776125572756537
-3,-3,20,3.0,1.553534416300652,0.7721652789021666
-3,-3,20,3.5,1.562677955688466,0.6568561532682206
-3,-3,20,4.0,1.3819238215951675,0.3858890028108103
-3,-3,20,4.5,1.9472624214647427,0.6628070129207488
-3,-3,20,5.0,2.3718414633491087,0.5699875569745674
-3,-3,30,0.5,0.909467287430807,0.8768052898177141
-3,-3,30,1.0,1.0154743277466787,0.94677538807598
-3,-3,30,1.5,1.0586529835673117,0.9406618133432175
-3,-3,30,2.0,1.2173095793976931,0.9096877030114561
-3,-3,30,2.5,1.432034378060416,0.8683340229675324
-3,-3,30,3.0,1.2540555780892266,0.7147036557822617
-3,-3,30,3.5,1.6291576356587771,0.8022647592856352
-3,-3,30,4.0,2.301454621771098,0.7187622184637017
-3,-3,30,4.5,1.6185474937407247,0.41161463581555346
-3,-3,30,5.0,1.7896663542905988,0.6921383804632734
-3,-3,40,0.5,0.9041984469862521,0.8694133698882598
-3,-3,40,1.0,1.007005988232325,0.9425649696961751
-3,-3,40,1.5,1.062165378124327,0.9037406182033417
-3,-3,40,2.0,1.2919379762390957,0.8426214585441895
-3,-3,40,2.5,1.17994027625978,0.785861596302996
-3,-3,40,3.0,1.4366242913677267,0.8037105957175762
-3,-3,40,3.5,1.724173228414968,0.6506612242609419
-3,-3,40,4.0,1.4894731597136959,0.6565661668706136
-3,-3,40,4.5,2.2235310943281332,0.6735907925371359
-3,-3,40,5.0,1.4420229514675287,-0.18632916116498383
-3,-3,50,0.5,0.9094817515652538,0.8752729120871973
-3,-3,50,1.0,0.9967143670195928,0.9475754656428439
-3,-3,50,1.5,1.0883987374434976,0.84199240113306
-3,-3,50,2.0,1.1511364380707256,0.8119830254348407
-3,-3,50,2.5,1.2472419636258723,0.7616461518107857
-3,-3,50,3.0,1.5660828469924732,0.6491998602985317
-3,-3,50,3.5,1.2963220463024903,0.5815578004713211
-3,-3,50,4.0,1.5883986278361282,0.5666633467907419
-3,-3,50,4.5,1.2299994746156078,-0.010168201313234398
-3,-3,50,5.0,1.3519169022777549,0.3928476794989787
-3,-3,60,0.5,0.9009751932901415,0.8631844921700135
-3,-3,60,1.0,0.9873745012587891,0.942100644225401
-3,-3,60,1.5,1.0495304290968264,0.8120692570547013
-3,-3,60,2.0,1.0794312489997504,0.8267177768338179
-3,-3,60,2.5,1.2905475893265974,0.6723490877125741
-3,-3,60,3.0,1.25195973685953,0.5567491590988514
-3,-3,60,3.5,1.2377811803380097,0.5296802168302638
-3,-3,60,4.0,1.1559245411760988,0.048314594987238474
-3,-3,60,4.5,1.1698585775627404,0.3085400064104422
-3,-3,60,5.0,0.6479978862907885,-0.6550681508578837
-3,-3,70,0.5,0.8899641806859115,0.848301373620495
-3,-3,70,1.0,0.9764150627192044,0.9394881170635155
-3,-3,70,1.5,1.0765763114055347,0.7906239721658885
-3,-3,70,2.0,1.0499633351384363,0.8207703372506875
-3,-3,70,2.5,1.6413466200521556,0.5987151979932834
-3,-3,70,3.0,1.102987561107347,0.5071650496411945
-3,-3,70,3.5,1.0735750862101319,0.30277564744742286
-3,-3,70,4.0,1.0442745039833632,0.06936992727354128
-3,-3,70,4.5,-0.07727609994846191,-0.0797935489508555
-3,-3,70,5.0,0.9183701148948877,-0.42347327019791564
-3,-3,80,0.5,0.8767984018061621,0.8310756505776797
-3,-3,80,1.0,0.8806327287722131,0.8602537396550622
-3,-3,80,1.5,1.0278344229442966,0.7722355353894224
-3,-3,80,2.0,0.906724813177471,0.6681173579023313
-3,-3,80,2.5,1.5529821383398297,0.5530550160795725
-3,-3,80,3.0,0.8883421281769673,0.41415198771606593
-3,-3,80,3.5,0.8512694731223797,0.17553768208066906
-3,-3,80,4.0,0.8314430551836589,0.14601858651488986
-3,-3,80,4.5,-0.3570599198300266,-0.36136005470108046
-3,-3,80,5.0,0.7851899577892,-0.11618140323665421
-3,-3,90,0.5,0.8618538119753966,0.8120383158840742
-3,-3,90,1.0,0.8481533688797213,0.8186682689232831
-3,-3,90,1.5,0.9710936309736533,0.7597854023367353
-3,-3,90,2.0,0.8301329264518811,0.6399945599188865
-3,-3,90,2.5,1.4383729239702203,0.5182296457232844
-3,-3,90,3.0,0.7626336405319591,0.3715825329484903
-3,-3,90,3.5,0.6228306487292886,0.06821715363974887
-3,-3,90,4.0,0.6797406171271886,0.08660379282943921
-3,-3,90,4.5,-0.6074188790669939,-0.6119758576644497
-3,-3,90,5.0,0.6228014424634002,-0.18805256878351934
-3,-3,100,0.5,0.8456372851673598,0.7917567784471575
-3,-3,100,1.0,0.9294827211387363,0.9294827211387363
-3,-3,100,1.5,0.9077800754681128,0.7537985566054417
-3,-3,100,2.0,0.9357667955975114,0.8403229885527949
-3,-3,100,2.5,0.7659876149750682,0.5037174244814474
-3,-3,100,3.0,0.9165481456802664,0.6122947567365847
-3,-3,100,3.5,0.19615408947883506,0.1555968101529593
-3,-3,100,4.0,0.7355341954561315,0.36888198226517366
-3,-3,100,4.5,-0.006973028189860508,-0.2761159910635449
-3,-3,100,5.0,0.3711655513368326,0.004765086988354761
-3,-3,110,0.5,0.8286638767539354,0.7708352681331528
-3,-3,110,1.0,0.9116337862097864,0.9116337862097864
-3,-3,110,1.5,0.7491316526155125,0.7308653532251848
-3,-3,110,2.0,0.8789238640798638,0.8135034358175017
-3,-3,110,2.5,0.5899630617722538,0.5325785466111735
-3,-3,110,3.0,0.9740501591433656,0.5577783007602848
-3,-3,110,3.5,0.4796572895705272,0.2375317948958593
-3,-3,110,4.0,0.10769097328707364,-0.202992101418188
-3,-3,110,4.5,0.32600815266390726,-0.060712936434061116
-3,-3,110,5.0,-1.1691853964566938,-1.1699368743848533
-3,-3,120,0.5,0.7913414940046196,0.7179986569597903
-3,-3,120,1.0,0.8623037043352364,0.8623037043352364
-3,-3,120,1.5,0.6722788377114368,0.6460765984822316
-3,-3,120,2.0,0.7956367909639495,0.7597235949474387
-3,-3,120,2.5,0.8391202166495795,0.8391202166495795
-3,-3,120,3.0,0.437090616224764,0.4052903957834349
-3,-3,120,3.5,0.7667641812984121,0.6935660113052152
-3,-3,120,4.0,0.05107039091859817,0.04224393471197047
-3,-3,120,4.5,1.000932819041,0.9979278029689087
-3,-3,120,5.0,0.6021658435827915,0.3295097513429076
-3,-3,130,0.5,0.7743481778272567,0.6962053788150697
-3,-3,130,1.0,0.8052132041064746,0.7625071601518504
-3,-3,130,1.5,0.6677797204129418,0.5983974290068619
-3,-3,130,2.0,0.5636109863197656,0.5526316888982292
-3,-3,130,2.5,0.7190636862249044,0.7190636862249044
-3,-3,130,3.0,0.42125133727465386,0.3315041318277853
-3,-3,130,3.5,0.19517156419120757,0.18479514933679742
-3,-3,130,4.0,0.7020629125052057,0.5082855102459148
-3,-3,130,4.5,0.07877499115626235,-0.025024499637207535
-3,-3,130,5.0,-1.1069564885714869,-1.1069564885714869
-3,-3,140,0.5,0.7663471334488047,0.6747613695201539
-3,-3,140,1.0,0.7344897175627368,0.6415104892006186
-3,-3,140,1.5,0.7870845234934374,0.7870845234934374
-3,-3,140,2.0,0.5627992697286528,0.4738198319485428
-3,-3,140,2.5,0.43088738745127764,0.3808974375980005
-3,-3,140,3.0,0.5899539910485281,0.5899539910485281
-3,-3,140,3.5,0.6857325471701117,0.6857325471701117
-3,-3,140,4.0,0.17594724301751574,0.05110389464989129
-3,-3,140,4.5,-0.17597137539331248,-0.1888717174304081
-3,-3,140,5.0,0.44777978957968567,0.44777978957968567
-3,-3,150,0.5,0.7545704015904037,0.6581596971959924
-3,-3,150,1.0,0.6766187996430953,0.5678612629861751
-3,-3,150,1.5,0.6405377421959983,0.5302667451794064
-3,-3,150,2.0,0.7055874650499466,0.7055874650499466
-3,-3,150,2.5,0.7359488784135133,0.7359488784135133
