x,y,theta,mag,J,min_J,J3,min_J3,J9,min_J9,correlation_J_J3,correlation_J_J9,correlation_J3_J9
-3,-3,0,0.5,0.9240863454684223,0.878452908698212,0.9142714912593901,0.9142714912593901,0.8558987251267643,0.8558987251267643,0.9472636622058189,0.8026377749662711,0.9342258814406377
-3,-3,0,1.0,0.9968470838924698,0.994957892450306,0.9883353686999377,0.9883353686999377,0.9137722686578907,0.9137722686578907,0.4795079949556555,0.13523719459479505,0.7577913658969406
-3,-3,0,1.5,1.0861235968913967,0.9519196619743735,1.0741784419615419,0.9528521972271453,0.9667921655311501,0.9667921655311501,0.9811792637797696,0.3872298429853201,0.2868952241354638
-3,-3,0,2.0,1.1866879366115604,0.8543089586287282,1.1608527164885734,0.8964403337661347,1.0295154466195222,0.9426247503605453,0.9564159359108146,0.8112861857445209,0.7840377356214596
-3,-3,0,2.5,1.2817906076383416,0.7831489763217911,1.241829819664026,0.8289176204757397,0.9047369595381491,0.7939309818018687,0.9819825773141373,0.49483721854988283,0.4502965391530265
-3,-3,0,3.0,1.3536536078021988,0.6223968714406676,1.3162237060848692,0.767231499441553,0.916702458830172,0.7633650498741201,0.9556374097527925,0.5315725651773965,0.5118821970688366
-3,-3,0,3.5,1.4441606145597885,0.5315137409631754,1.3885772801428073,0.6599198099084802,0.9162612008797499,0.5880222452374962,0.9895506990157051,0.6415541681163117,0.615078355255008
-3,-3,0,4.0,1.4614966371103306,0.34273761919390977,1.4475834550876732,0.5994193615044371,0.8819643780730735,0.5546783878521365,0.9189507459409755,0.5715209039693928,0.5391084193004343
-3,-3,0,4.5,1.5387617974805927,0.2338829557023221,1.5023922640608576,0.49231721183658306,0.845819031838797,0.3328086863763441,0.9768362846028684,0.6757292302574436,0.5927515641685973
-3,-3,0,5.0,1.4980100367701,0.016353289874785126,1.49971068256164,0.3912524351925797,0.8311623037345135,0.3388348611982783,0.9220809687471005,0.611416609420512,0.6011018959058002
-3,-3,10,0.5,0.9129184641028052,0.8807980091774066,0.8934123177962163,0.8934123177962163,0.8044222241008001,0.8044222241008001,0.8167209038667448,0.5409709212141802,0.8031747310627918
-3,-3,10,1.0,1.0085101285744393,0.9833336461853093,0.993262545442933,0.993262545442933,0.8744547123264355,0.8744547123264355,0.4555214967667081,0.1533349640288723,0.7218839936873049
-3,-3,10,1.5,1.1044126586866274,0.9229506394436299,1.033308632851964,0.9290248700039967,1.0161657611042205,0.9252157696604586,0.053012016847424424,0.8186628257081511,-0.10622183037590997
-3,-3,10,2.0,1.1754373204692383,0.8117366331259405,1.2009362514488684,0.8921604756985285,1.108705740282774,0.876914639854458,0.25289763155503786,0.3357658798520368,0.7796044929213221
-3,-3,10,2.5,1.207247409084279,0.6725658956661922,1.265537800993641,0.671720108096006,1.1469888244583,0.9154060022371671,0.47875664768404,-0.14286410598882182,-0.061678916677104366
-3,-3,10,3.0,1.2063948543671454,0.5133770114779271,1.1843150581889679,0.6314224541410801,1.016656662143038,1.0141932927516781,0.9819143934221704,-0.11846844401288152,-0.14807054986602064
-3,-3,10,3.5,1.4820823144444688,0.7989000679757371,1.546736555028494,0.6899620412645912,0.7660024849396341,0.33163779362804713,0.6386145235368536,-0.2993498816645812,-0.5283702347478207
-3,-3,10,4.0,1.6945957859229552,0.7039911653654967,1.5681615787151009,0.5315339463519878,0.9082087604729323,0.3275704410711118,0.2821506280730918,-0.4874756446486635,0.11121944901662192
-3,-3,10,4.5,1.9072010262309809,0.6029228455258383,1.35923455389937,0.42220465979409594,1.3906079237946223,0.5295694243636634,0.16258803264100702,0.22003813646599055,0.11363741158318609
-3,-3,10,5.0,1.838397411260886,0.28312646518838375,1.9338092448029784,0.4738984064153446,1.7717593466676198,0.46311346400084535,0.30355839600674556,0.658099380939552,0.6990519495911356
-3,-3,20,0.5,0.9141342223778502,0.879984682012602,0.9014157116242005,0.9014157116242005,0.8482014091125291,0.8482014091125291,0.2951692037342194,0.42862320544498084,0.9577089845549258
-3,-3,20,1.0,1.0168459374052181,0.9621348782979003,0.9931070473242846,0.958655330672858,0.9184353284843053,0.9184353284843053,0.5859294425772561,0.13499727142530285,0.5960206143982364
-3,-3,20,1.5,1.0794864756493345,0.9360897579659879,1.0794471590736103,0.9262822408035315,0.888469617482252,0.8604631457215687,0.9588502225558395,0.49598652472427757,0.3791202062544711
-3,-3,20,2.0,1.1111443719913858,0.8120807136332217,1.2184847537784114,0.9070661745081429,1.154103391726479,0.9217573427373508,0.30631267622307357,0.22982500509317252,0.8433435099094074
-3,-3,20,2.5,1.3481386576148184,0.8776125572756537,1.1930311276525818,0.8205848840012406,0.9361358811008412,0.9361358811008412,0.3103090853315421,0.22968611155787874,-0.23195195878596073
-3,-3,20,3.0,1.553534416300652,0.7721652789021666,1.4533312811823154,0.7665724140110184,1.2549138116528942,0.8264908330710642,0.9735044621526505,0.7335072461480849,0.7560594675132373
-3,-3,20,3.5,1.562677955688466,0.6568561532682206,1.48798666257736,0.7774603414881706,1.4194367093789684,0.8802494791216866,0.25625533902794845,0.26504964405964004,0.6680075544627078
-3,-3,20,4.0,1.3819238215951675,0.3858890028108103,1.6551995381001547,0.4580644853423087,1.1399154274296,0.6230992430518286,0.13339267423169562,0.7061229787540334,0.27578729796423207
-3,-3,20,4.5,1.9472624214647427,0.6628070129207488,1.82362203924533,0.5999221886791025,1.8677998580575184,0.5600283244254792,0.9300224665405392,0.6990314550066977,0.6951056876148167
-3,-3,20,5.0,2.3718414633491087,0.5699875569745674,1.7317896054237734,0.359295970149884,1.3174974643122155,1.0268109039064786,0.42829151142709254,0.13965635004934798,0.09717051325960865
-3,-3,30,0.5,0.909467287430807,0.8768052898177141,0.9230096744665396,0.9230096744665396,0.8384406079971064,0.8384406079971064,0.26531915429622216,0.8069922008901501,0.43480777663388254
-3,-3,30,1.0,1.0154743277466787,0.94677538807598,0.9940601183209306,0.9371950172811816,0.9142075965078225,0.9142075965078225,0.9795965604901364,0.834280611680682,0.885664862189173
-3,-3,30,1.5,1.0586529835673117,0.9406618133432175,1.089187638482746,0.9008102194016461,0.8605057687687108,0.8605057687687108,0.5564802160628408,0.5889298575931895,-0.04685608802427877
-3,-3,30,2.0,1.2173095793976931,0.9096877030114561,1.205338549887149,0.8874861858552997,1.1084503314887213,0.9944033228028409,0.964115279874462,0.9296155790519669,0.8797583579037729
-3,-3,30,2.5,1.432034378060416,0.8683340229675324,1.2720340157501553,0.8945270904011634,1.2753066887380704,0.9207122686493264,0.45000503830285077,0.9459944074388572,0.3966353798882356
-3,-3,30,3.0,1.2540555780892266,0.7147036557822617,1.2871836868056645,0.752769474078856,1.0265830393564417,0.7641640886109378,0.9291974024362323,0.7361124570683115,0.7388386795064622
-3,-3,30,3.5,1.6291576356587771,0.8022647592856352,1.519559171307765,0.7029580127720071,1.4435763873502165,0.908687905255877,0.5151134238424563,0.8429533519087782,0.41718270892197645
-3,-3,30,4.0,2.301454621771098,0.7187622184637017,1.9191723678898784,0.6736882811484646,1.9324233849568786,0.6514921212981603,0.9802158777382649,0.9412175847201918,0.957984422773609
-3,-3,30,4.5,1.6185474937407247,0.41161463581555346,1.938928870473367,0.5820470475560211,1.3064911436618676,0.5992251771590813,0.32876903014418507,0.9099996381710425,0.11720227336410657
-3,-3,30,5.0,1.7896663542905988,0.6921383804632734,1.8412570385020741,0.5655724686305947,1.7769116470394213,0.7382228222467924,0.9152413435378924,0.868952197386243,0.9387392969689268
-3,-3,40,0.5,0.9041984469862521,0.8694133698882598,0.9019401461425303,0.9019401461425303,0.7944835658389146,0.7944835658389146,0.36096936587583567,0.47861148501763834,0.6704689967993362
-3,-3,40,1.0,1.007005988232325,0.9425649696961751,0.9758959010001724,0.938158348925893,0.8408460403728941,0.8408460403728941,0.3755617771567381,0.6083812424797567,0.3514203048148481
-3,-3,40,1.5,1.062165378124327,0.9037406182033417,1.0564128467795901,0.8997499092655692,0.8927108289879937,0.8927108289879937,0.9542543800415935,0.07100935523352747,0.10764189100434922
-3,-3,40,2.0,1.2919379762390957,0.8426214585441895,1.1442988004860801,0.8660741817501318,1.0232403853909078,0.8808781382737261,0.5479238113194944,0.4076722369724664,0.15331230000916812
-3,-3,40,2.5,1.17994027625978,0.785861596302996,1.2335459670363504,0.831365546477956,1.09596850121488,0.8475901956967944,0.43807921140724343,0.6803997968437798,0.2759264924779362
-3,-3,40,3.0,1.4366242913677267,0.8037105957175762,1.3481236196658948,0.7808852413900019,1.221114489422259,0.8168025758517184,0.8603279580020463,0.30564466568599996,0.3657532962129153
-3,-3,40,3.5,1.724173228414968,0.6506612242609419,1.445528180749048,0.7346147491862534,1.4860257787278666,0.7982752419721413,0.430324373338209,0.9655085275756764,0.4287544630512646
-3,-3,40,4.0,1.4894731597136959,0.6565661668706136,1.5685000266712037,0.6727422078843446,1.4152774157374999,0.7678595931826352,0.9003314753366557,0.19103916690800257,0.30993460740901774
-3,-3,40,4.5,2.2235310943281332,0.6735907925371359,1.652275288668134,0.6213732690294533,1.5872198506890052,0.6837109055282009,0.7054180229764248,0.6426182043077165,0.46288029311040096
-3,-3,40,5.0,1.4420229514675287,-0.18632916116498383,1.7348523870318617,0.5716468592539741,1.9302950843168414,0.5698285508133425,0.40434279043345855,0.22981629441892792,0.6569441579576726
-3,-3,50,0.5,0.9094817515652538,0.8752729120871973,0.8790220360156206,0.863138349400782,0.8442427510954283,0.8442427510954283,0.2741951983674481,0.8915330975546485,0.44186194632862574
-3,-3,50,1.0,0.9967143670195928,0.9475754656428439,0.9495710065248442,0.8827873343282623,0.8175812201598748,0.8175812201598748,0.5411768581897973,0.7313935169083275,0.4883415506842598
-3,-3,50,1.5,1.0883987374434976,0.84199240113306,1.065070524652968,0.8267916229666757,1.0591847121049545,0.9348494754750469,0.7951093258508958,0.8648065456225085,0.8969409282163858
-3,-3,50,2.0,1.1511364380707256,0.8119830254348407,1.1208476320344545,0.7648227525898861,0.8728258921243744,0.8728258921243744,0.9821516297116956,0.5501610271782769,0.49425470923440806
-3,-3,50,2.5,1.2472419636258723,0.7616461518107857,1.12693362045643,0.7632888836139666,1.371180894449711,0.8740181104085445,0.49753101007045725,0.7385478153946037,0.6547762784795327
-3,-3,50,3.0,1.5660828469924732,0.6491998602985317,1.2824047785707156,0.6766617957496954,0.9687307096550816,0.6784316853839694,0.5036504495985972,0.18867427915663212,-0.016132796404347106
-3,-3,50,3.5,1.2963220463024903,0.5815578004713211,1.517505244955915,0.555821277680175,1.4880189360722635,0.779460823859028,0.6803296186750604,0.4897815050149759,0.874924280183317
-3,-3,50,4.0,1.5883986278361282,0.5666633467907419,1.604568178600659,0.4238193818377559,1.0934312378150597,0.5529417556078928,0.8853332703051715,0.035672737420144214,0.2039057062526489
-3,-3,50,4.5,1.2299994746156078,-0.010168201313234398,1.3601686579439658,0.0831273031557478,1.6139760533102856,0.5884169066642078,0.6738479373797595,0.34251244375996054,0.5009655060152132
-3,-3,50,5.0,1.3519169022777549,0.3928476794989787,1.282151269191689,0.042128002314382296,1.1127189692228998,0.17107475707581532,0.3911567447975142,0.1868172162653164,0.9186736732482449
-3,-3,60,0.5,0.9009751932901415,0.8631844921700135,0.8507938495744963,0.8507938495744963,0.7895832949097417,0.7895832949097417,0.6814016874120998,0.39231758363263736,0.5241638717236083
-3,-3,60,1.0,0.9873745012587891,0.942100644225401,0.9524078254453715,0.8834045823436274,0.8309282878625098,0.8309282878625098,0.6894122586002722,0.8032435210971104,0.7076332802835993
-3,-3,60,1.5,1.0495304290968264,0.8120692570547013,0.9883417585768569,0.8591596894968847,0.8947791654763796,0.8947791654763796,0.750607264850708,0.4139667177014489,0.40686125675686935
-3,-3,60,2.0,1.0794312489997504,0.8267177768338179,1.101378472076427,0.7154220260171478,0.9731029757600772,0.8578265200109965,0.6198253775113164,0.8193771611937637,0.6262007312545514
-3,-3,60,2.5,1.2905475893265974,0.6723490877125741,1.2018067424901542,0.6301548205032387,1.1274697445696906,0.8264547160904956,0.6677107396405416,0.5177292622419231,0.9320558458082574
-3,-3,60,3.0,1.25195973685953,0.5567491590988514,1.1018340701446925,0.6893687989125997,1.3630299621289788,0.771871196600861,0.40064151806272935,0.6251872067203781,0.4705137156791147
-3,-3,60,3.5,1.2377811803380097,0.5296802168302638,1.3521939574978497,0.4427522428242255,1.2197614786175859,0.5690984977045142,0.810811838151912,0.4888096087386297,0.7718088003242446
-3,-3,60,4.0,1.1559245411760988,0.048314594987238474,1.1851061773462719,0.1637314418406683,1.2576417406192628,0.3759188519178781,0.8443868395634261,0.27470398330092644,0.6499381464610995
-3,-3,60,4.5,1.1698585775627404,0.3085400064104422,1.1633047465862874,0.48358764144988897,1.1589882599941865,0.5567009868845123,0.7282306250669127,0.7132612373031041,0.5506174017408954
-3,-3,60,5.0,0.6479978862907885,-0.6550681508578837,1.14769274826817,0.06006803908009059,1.0230927156108431,0.4125738508379548,0.40649857800193845,0.2972942280998302,0.9185691286340583
