x,y,theta,mag,J,min_J
-3,-3,0,0.5,0.8558987251267643,0.8558987251267643
-3,-3,0,1.0,0.9137722686578907,0.9137722686578907
-3,-3,0,1.5,0.9667921655311501,0.9667921655311501
-3,-3,0,2.0,1.0295154466195222,0.9426247503605453
-3,-3,0,2.5,0.9047369595381491,0.7939309818018687
-3,-3,0,3.0,0.916702458830172,0.7633650498741201
-3,-3,0,3.5,0.9162612008797499,0.5880222452374962
-3,-3,0,4.0,0.8819643780730735,0.5546783878521365
-3,-3,0,4.5,0.845819031838797,0.3328086863763441
-3,-3,0,5.0,0.8311623037345135,0.3388348611982783
-3,-3,10,0.5,0.8044222241008001,0.8044222241008001
-3,-3,10,1.0,0.8744547123264355,0.8744547123264355
-3,-3,10,1.5,1.0161657611042205,0.9252157696604586
-3,-3,10,2.0,1.108705740282774,0.876914639854458
-3,-3,10,2.5,1.1469888244583,0.9154060022371671
-3,-3,10,3.0,1.016656662143038,1.0141932927516781
-3,-3,10,3.5,0.7660024849396341,0.33163779362804713
-3,-3,10,4.0,0.9082087604729323,0.3275704410711118
-3,-3,10,4.5,1.3906079237946223,0.5295694243636634
-3,-3,10,5.0,1.7717593466676198,0.46311346400084535
-3,-3,20,0.5,0.8482014091125291,0.8482014091125291
-3,-3,20,1.0,0.9184353284843053,0.9184353284843053
-3,-3,20,1.5,0.888469617482252,0.8604631457215687
-3,-3,20,2.0,1.154103391726479,0.9217573427373508
-3,-3,20,2.5,0.9361358811008412,0.9361358811008412
-3,-3,20,3.0,1.2549138116528942,0.8264908330710642
-3,-3,20,3.5,1.4194367093789684,0.8802494791216866
-3,-3,20,4.0,1.1399154274296,0.6230992430518286
-3,-3,20,4.5,1.8677998580575184,0.5600283244254792
-3,-3,20,5.0,1.3174974643122155,1.0268109039064786
-3,-3,30,0.5,0.8384406079971064,0.8384406079971064
-3,-3,30,1.0,0.9142075965078225,0.9142075965078225
-3,-3,30,1.5,0.8605057687687108,0.8605057687687108
-3,-3,30,2.0,1.1084503314887213,0.9944033228028409
-3,-3,30,2.5,1.2753066887380704,0.9207122686493264
-3,-3,30,3.0,1.0265830393564417,0.7641640886109378
-3,-3,30,3.5,1.4435763873502165,0.908687905255877
