level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,region,count,region name
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Subiculum,,,,492,21,Subiculum
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Agranular insular area,"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 1",,,986,12,"Agranular insular area, dorsal part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Agranular insular area,"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 1",,,694,46,"Agranular insular area, ventral part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Anterior cingulate area,"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 1",,,925,2,"Anterior cingulate area, dorsal part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Anterior cingulate area,"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, layer 1",,,578,6,"Anterior cingulate area, ventral part, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,"Dorsal auditory area, layer 2/3",,,590,1,"Dorsal auditory area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,"Dorsal auditory area, layer 4",,,668,5,"Dorsal auditory area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,"Dorsal auditory area, layer 5",,,245,5,"Dorsal auditory area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,"Dorsal auditory area, layer 6a",,,151,5,"Dorsal auditory area, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Posterior auditory area,"Posterior auditory area, layer 4",,,749,1,"Posterior auditory area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Posterior auditory area,"Posterior auditory area, layer 5",,,781,2,"Posterior auditory area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,"Primary auditory area, layer 1",,,725,1,"Primary auditory area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,"Primary auditory area, layer 2/3",,,244,1,"Primary auditory area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,"Primary auditory area, layer 4",,,806,1,"Primary auditory area, layer 4"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,"Primary auditory area, layer 5",,,837,11,"Primary auditory area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,"Primary auditory area, layer 6a",,,944,2,"Primary auditory area, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Ventral auditory area,"Ventral auditory area, layer 5",,,1012,4,"Ventral auditory area, layer 5"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Ventral auditory area,"Ventral auditory area, layer 6a",,,510,1,"Ventral auditory area, layer 6a"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Ectorhinal area,Ectorhinal area/Layer 1,,,,826,2,Ectorhinal area/Layer 1
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Ectorhinal area,Ectorhinal area/Layer 5,,,,978,1,Ectorhinal area/Layer 5
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,"Frontal pole, cerebral cortex","Frontal pole, layer 1",,,,63,4,"Frontal pole, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Infralimbic area,"Infralimbic area, layer 1",,,,697,69,"Infralimbic area, layer 1"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Infralimbic area,"Infralimbic area, layer 2/3",,,,546,3,"Infralimbic area, layer 2/3"
root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, lateral part","Orbital area, lateral part, layer 1",,,438,863,"Orbital area, lateral part, layer 1"
