x,y,theta,mag,J,min_J,J3,min_J3,correlation_J_J3
-3,-3,0,0.5,1.0184330762346738,0.9586303147312896,1.0507359337094295,0.8749961214861433,0.9278234487900278
-3,-3,0,1.0,0.9995115949215342,0.9982117878586474,0.9964196053572323,0.9620167468939267,0.21488662842556097
-3,-3,0,1.5,0.9802346957708576,0.8690321755083938,0.9411284038040004,0.7010700158929288,0.8440921316877916
-3,-3,0,2.0,0.9612160373398904,0.7387666499332325,0.8846908303420271,0.4486872286085881,0.8781227138763392
-3,-3,0,2.5,0.9423721190250699,0.6085831976970464,0.8280072351176218,0.19889884950308367,0.8914732071281704
-3,-3,0,3.0,0.9235888983425106,0.4784336832686913,0.7710811473728651,-0.051151174533189625,0.8983182225527624
-3,-3,0,3.5,0.9048227805295672,0.34829816322636886,0.7139153041016453,-0.3020477506810617,0.9023012584874811
-3,-3,0,4.0,0.8860617968910907,0.21817238573877784,0.6534517114476239,-0.5804602514927764,0.8973464800029686
-3,-3,0,4.5,0.8673181926408478,0.0880683460444216,0.5958254302180244,-0.8339229778233737,0.8998507155696798
-3,-3,0,5.0,0.848641924404167,-0.041971617940055106,0.5380700830550404,-1.08810464840343,0.9015868568369343
-3,-3,10,0.5,1.0148980760318649,0.9560400746637402,1.038946604644662,0.8723165963801736,0.9369719306326149
-3,-3,10,1.0,0.9916910920964226,0.9514164720972147,0.9747688140321318,0.8873589630296678,0.8293398053169431
-3,-3,10,1.5,0.9697398237604012,0.8573024092858614,0.911876179881621,0.6768310985031349,0.8520082498462221
-3,-3,10,2.0,0.948821965953685,0.7234581856650049,0.8474346045507051,0.4185366856387742,0.8755296754871186
-3,-3,10,2.5,0.9268717441778742,0.5894330227519451,0.7814538001158784,0.16115363508274716,0.8862504909726115
-3,-3,10,3.0,0.9049854042307023,0.4554346834457821,0.7152397560707098,-0.09638867230445555,0.892411714201799
-3,-3,10,3.5,0.8831178855846655,0.32144380297491565,0.6487906488046481,-0.35473526165338054,0.8962297569856813
-3,-3,10,4.0,0.8619948779213487,0.18773887378425946,0.582144842333387,-0.6139227822499309,0.8983565195439598
-3,-3,10,4.5,0.840238670929811,0.0538286418549735,0.5121521050760521,-0.9006791747219383,0.8942578076977924
-3,-3,10,5.0,0.818538416743173,-0.07999260701376674,0.4451164995266218,-1.162165925074757,0.8960035006197256
