x,y,theta,mag,J,min_J,J3,min_J3,J9,min_J9,correlation_J_J3,correlation_J_J9,correlation_J3_J9
-3,-3,0,0.5,1.0184330762346738,0.9586303147312896,1.0507359337094295,0.8749961214861433,1.1008898592192935,0.5261283665430536,0.9278234487900278,0.8981951398798217,0.9333576779246798
-3,-3,0,1.0,0.9995115949215342,0.9982117878586474,0.9964196053572323,0.9620167468939267,0.955468764568975,0.5659849957054064,0.21488662842556097,0.35667241783485765,0.25005908079416034
-3,-3,0,1.5,0.9802346957708576,0.8690321755083938,0.9411284038040004,0.7010700158929288,0.7004153749183768,-0.3511278933901991,0.8440921316877916,0.30130577100212447,0.6107603278829588
-3,-3,0,2.0,0.9612160373398904,0.7387666499332325,0.8846908303420271,0.4486872286085881,0.5481791314160249,-1.0380364963943443,0.8781227138763392,0.4520269519690571,0.7213834499476154
-3,-3,0,2.5,0.9423721190250699,0.6085831976970464,0.8280072351176218,0.19889884950308367,0.3931989811181076,-1.7244348856778409,0.8914732071281704,0.5246719269831329,0.7758625203126001
-3,-3,0,3.0,0.9235888983425106,0.4784336832686913,0.7710811473728651,-0.051151174533189625,0.15953015487588562,-2.7513025550884684,0.8983182225527624,0.5379577361836403,0.7864130331633759
-3,-3,0,3.5,0.9048227805295672,0.34829816322636886,0.7139153041016453,-0.3020477506810617,-0.010577250756483636,-3.547164980358449,0.9023012584874811,0.5752550653763195,0.8050097334972957
-3,-3,0,4.0,0.8860617968910907,0.21817238573877784,0.6534517114476239,-0.5804602514927764,-0.18054839758555907,-4.316399138168814,0.8973464800029686,0.6045043477180061,0.8340789486301877
-3,-3,0,4.5,0.8673181926408478,0.0880683460444216,0.5958254302180244,-0.8339229778233737,-0.3351630148249889,-5.02651730440372,0.8998507155696798,0.6266535069823398,0.8499456405580768
-3,-3,0,5.0,0.848641924404167,-0.041971617940055106,0.5380700830550404,-1.08810464840343,-0.490148893925376,-5.7255190958879645,0.9015868568369343,0.6436304787882267,0.8624958115163167
-3,-3,10,0.5,1.0148980760318649,0.9560400746637402,1.038946604644662,0.8723165963801736,1.0730192923707271,0.5252667637546908,0.9369719306326149,0.8861049582879656,0.905204448035208
-3,-3,10,1.0,0.9916910920964226,0.9514164720972147,0.9747688140321318,0.8873589630296678,0.9010837282896701,0.5644503961640546,0.8293398053169431,0.16582975136005712,0.4614953793800061
-3,-3,10,1.5,0.9697398237604012,0.8573024092858614,0.911876179881621,0.6768310985031349,0.618936481961258,-0.4199668985030848,0.8520082498462221,0.42670343016881307,0.7167732336951039
-3,-3,10,2.0,0.948821965953685,0.7234581856650049,0.8474346045507051,0.4185366856387742,0.44027666947176847,-1.1289913027648921,0.8755296754871186,0.5361397838748926,0.7990519550889106
-3,-3,10,2.5,0.9268717441778742,0.5894330227519451,0.7814538001158784,0.16115363508274716,0.2577367405951569,-1.8380693021903285,0.8862504909726115,0.5861304679930461,0.8355362600066345
-3,-3,10,3.0,0.9049854042307023,0.4554346834457821,0.7152397560707098,-0.09638867230445555,-0.00010702701748080412,-2.8783417328011485,0.892411714201799,0.5912107672883562,0.8383641935819418
-3,-3,10,3.5,0.8831178855846655,0.32144380297491565,0.6487906488046481,-0.35473526165338054,-0.1976924584541373,-3.697414949419162,0.8962297569856813,0.6218421283235224,0.8511938080475513
-3,-3,10,4.0,0.8619948779213487,0.18773887378425946,0.582144842333387,-0.6139227822499309,-0.39620701737010616,-4.490764622385444,0.8983565195439598,0.6451317883253561,0.8652587515807402
-3,-3,10,4.5,0.840238670929811,0.0538286418549735,0.5121521050760521,-0.9006791747219383,-0.5787133845395689,-5.228710038498032,0.8942578076977924,0.6625822936146168,0.8845261992089739
-3,-3,10,5.0,0.818538416743173,-0.07999260701376674,0.4451164995266218,-1.162165925074757,-0.7607625326573944,-5.950266335899929,0.8960035006197256,0.6757709130092185,0.8937839953393812
-3,-3,20,0.5,1.01121253835241,0.9499566004558087,1.0310439327721581,0.8636086344658668,1.0516071977777597,0.5221026574811563,0.9543031728118333,0.8852536937937607,0.8913594566470756
-3,-3,20,1.0,0.9886526707309854,0.9142796197933865,0.962760246842064,0.8171984645759856,0.8572400649709976,0.43996488461560473,0.8689405881682339,0.34571243061692886,0.6304084919140455
-3,-3,20,1.5,0.9637081289167782,0.8380674534270727,0.8911697847100704,0.6659758419742097,0.5534663796177649,-0.42486927035305966,0.8671772559235121,0.4993179611827021,0.7715171620454409
-3,-3,20,2.0,0.9398344647740063,0.724655214604816,0.8181810644710962,0.41978636025619986,0.3536439340707166,-1.1326840365701614,0.8760978341649642,0.5875068489795461,0.8430874664190082
-3,-3,20,2.5,0.915611623712517,0.5909279397355982,0.7449343678704162,0.16248665129930712,0.1496544309507301,-1.843609157396478,0.8841186003585488,0.6237815844809459,0.8695621659830947
-3,-3,20,3.0,0.8914625067990462,0.4572312799891359,0.6714817484513678,-0.09463952461365929,-0.12429080922086808,-2.8730747518698356,0.8893136748174807,0.6240564516489767,0.8699806278713178
-3,-3,20,3.5,0.8673379336400058,0.3235446406978562,0.5978101982335499,-0.35242997550484473,-0.3422836185600319,-3.67812653522038,0.8927402366399665,0.6487407366077057,0.8791252195867107
-3,-3,20,4.0,0.8432196057373178,0.1898639157400227,0.5239464026396478,-0.6109999889554872,-0.5634553667170348,-4.482498417777708,0.8950896870846087,0.6696823765725026,0.8895655582534133
-3,-3,20,4.5,0.8191081502129327,0.05620200815654258,0.4467816651553952,-0.8960968324401017,-0.7724774753249309,-5.233534359932104,0.8915931020985626,0.684549190221099,0.9046507927207733
-3,-3,20,5.0,0.7950266017266698,-0.07739144607434892,0.37253579974223106,-1.1567583856659789,-0.9760619346051639,-5.955725985518334,0.8932528706766268,0.695393791692054,0.9119365491342609
-3,-3,30,0.5,1.00999877448586,0.9449813940549651,1.0273738891388666,0.8505347531350924,1.0353919304755619,0.5173132984255604,0.9629027320491459,0.8763966700308908,0.8802072113828522
-3,-3,30,1.0,0.9854615874418803,0.8777380256602787,0.9519556193539005,0.7428508091722589,0.825253429488394,0.21972000424119564,0.8856262135830104,0.4579685528442313,0.7253732151481546
