x,y,theta,mag,J3,min_J3,J9,min_J9,correlation_J3_J9
-3,-3,0,0.5,1.0507359337094295,0.8749961214861433,1.1008898592192935,0.5261283665430536,0.9333576779246798
-3,-3,0,1.0,0.9964196053572323,0.9620167468939267,0.955468764568975,0.5659849957054064,0.25005908079416034
-3,-3,0,1.5,0.9411284038040004,0.7010700158929288,0.7004153749183768,-0.3511278933901991,0.6107603278829588
-3,-3,0,2.0,0.8846908303420271,0.4486872286085881,0.5481791314160249,-1.0380364963943443,0.7213834499476154
-3,-3,0,2.5,0.8280072351176218,0.19889884950308367,0.3931989811181076,-1.7244348856778409,0.7758625203126001
-3,-3,0,3.0,0.7710811473728651,-0.051151174533189625,0.15953015487588562,-2.7513025550884684,0.7864130331633759
-3,-3,0,3.5,0.7139153041016453,-0.3020477506810617,-0.010577250756483636,-3.547164980358449,0.8050097334972957
-3,-3,0,4.0,0.6534517114476239,-0.5804602514927764,-0.18054839758555907,-4.316399138168814,0.8340789486301877
-3,-3,0,4.5,0.5958254302180244,-0.8339229778233737,-0.3351630148249889,-5.02651730440372,0.8499456405580768
-3,-3,0,5.0,0.5380700830550404,-1.08810464840343,-0.490148893925376,-5.7255190958879645,0.8624958115163167
-3,-3,10,0.5,1.038946604644662,0.8723165963801736,1.0730192923707271,0.5252667637546908,0.905204448035208
-3,-3,10,1.0,0.9747688140321318,0.8873589630296678,0.9010837282896701,0.5644503961640546,0.4614953793800061
-3,-3,10,1.5,0.911876179881621,0.6768310985031349,0.618936481961258,-0.4199668985030848,0.7167732336951039
-3,-3,10,2.0,0.8474346045507051,0.4185366856387742,0.44027666947176847,-1.1289913027648921,0.7990519550889106
-3,-3,10,2.5,0.7814538001158784,0.16115363508274716,0.2577367405951569,-1.8380693021903285,0.8355362600066345
-3,-3,10,3.0,0.7152397560707098,-0.09638867230445555,-0.00010702701748080412,-2.8783417328011485,0.8383641935819418
-3,-3,10,3.5,0.6487906488046481,-0.35473526165338054,-0.1976924584541373,-3.697414949419162,0.8511938080475513
-3,-3,10,4.0,0.582144842333387,-0.6139227822499309,-0.39620701737010616,-4.490764622385444,0.8652587515807402
-3,-3,10,4.5,0.5121521050760521,-0.9006791747219383,-0.5787133845395689,-5.228710038498032,0.8845261992089739
-3,-3,10,5.0,0.4451164995266218,-1.162165925074757,-0.7607625326573944,-5.950266335899929,0.8937839953393812
-3,-3,20,0.5,1.0310439327721581,0.8636086344658668,1.0516071977777597,0.5221026574811563,0.8913594566470756
-3,-3,20,1.0,0.962760246842064,0.8171984645759856,0.8572400649709976,0.43996488461560473,0.6304084919140455
-3,-3,20,1.5,0.8911697847100704,0.6659758419742097,0.5534663796177649,-0.42486927035305966,0.7715171620454409
-3,-3,20,2.0,0.8181810644710962,0.41978636025619986,0.3536439340707166,-1.1326840365701614,0.8430874664190082
-3,-3,20,2.5,0.7449343678704162,0.16248665129930712,0.1496544309507301,-1.843609157396478,0.8695621659830947
-3,-3,20,3.0,0.6714817484513678,-0.09463952461365929,-0.12429080922086808,-2.8730747518698356,0.8699806278713178
-3,-3,20,3.5,0.5978101982335499,-0.35242997550484473,-0.3422836185600319,-3.67812653522038,0.8791252195867107
-3,-3,20,4.0,0.5239464026396478,-0.6109999889554872,-0.5634553667170348,-4.482498417777708,0.8895655582534133
-3,-3,20,4.5,0.4467816651553952,-0.8960968324401017,-0.7724774753249309,-5.233534359932104,0.9046507927207733
-3,-3,20,5.0,0.37253579974223106,-1.1567583856659789,-0.9760619346051639,-5.955725985518334,0.9119365491342609
-3,-3,30,0.5,1.0273738891388666,0.8505347531350924,1.0353919304755619,0.5173132984255604,0.8802072113828522
-3,-3,30,1.0,0.9519556193539005,0.7428508091722589,0.825253429488394,0.21972000424119564,0.7253732151481546
-3,-3,30,1.5,0.8757521708946973,0.5545622149355024,0.6137374303497908,-0.3065183299523939,0.8781488830471331
-3,-3,30,2.0,0.7978041305660867,0.36748545236551833,0.29053764376260194,-1.0458793584550445,0.86731003056962
-3,-3,30,2.5,0.7195359197458684,0.18153265074993222,0.07311113887372833,-1.7401292454429227,0.8908097691255402
-3,-3,30,3.0,0.6411010147800246,-0.04606157791604111,-0.14497299278118714,-2.4322527827399516,0.9046576026406093
-3,-3,30,3.5,0.5624800927124098,-0.2953710580494909,-0.4454985246744311,-3.471225871422857,0.8970364594023581
-3,-3,30,4.0,0.4836802052490137,-0.5453268034053295,-0.6771315673460976,-4.258733761703579,0.9044068146667034
-3,-3,30,4.5,0.40472940734914115,-0.7959320438143301,-0.909389012634993,-5.0202585534332105,0.9118487080639881
-3,-3,30,5.0,0.3224872157224604,-1.0723261362299046,-1.1294998642865863,-5.741642585695123,0.9223857207185658
-3,-3,40,0.5,1.0250772976033011,0.8351535827716022,0.9411559784038058,-0.06860645324427539,0.675728945618803
-3,-3,40,1.0,0.9469791065623512,0.681253693765476,0.8060541976632055,0.03140054906897921,0.7637005667482942
-3,-3,40,1.5,0.8672550140099115,0.4604767446486474,0.585144477049266,-0.588869265098506,0.8818149377944866
-3,-3,40,2.0,0.7868842299256947,0.241211235060735,0.2553672832891629,-1.3293938637572367,0.8770047233794845
-3,-3,40,2.5,0.7059991731338181,0.023265808052569253,0.03011100424992652,-1.9555695430273599,0.9033376025393005
-3,-3,40,3.0,0.6249668869492537,-0.19418053173889402,-0.19826688910305867,-2.5815169182990743,0.9137115777312018
-3,-3,40,3.5,0.5438000694264133,-0.4115682686985387,-0.424353235369872,-3.2050018429488536,0.9219900128224195
-3,-3,40,4.0,0.46248615216619327,-0.6290436227478214,-0.7350964917698054,-3.922050207501821,0.9136645336494407
-3,-3,40,4.5,0.38103326290631234,-0.846643261580888,-0.9718851996371897,-4.570764596416518,0.9191972136052757
-3,-3,40,5.0,0.2994612988980534,-1.0643670992872083,-1.2129339628817226,-5.28893958897188,0.9243573024540931
-3,-3,50,0.5,1.0247592617604109,0.8163844792372824,0.9449218434717984,-0.06004799865622018,0.7139783938347112
-3,-3,50,1.0,0.9457584516828543,0.631346389130811,0.8001305613824697,-0.11936939899965794,0.793005318738027
-3,-3,50,1.5,0.8656015945684996,0.38651046332998495,0.5766496144014547,-0.8147165394646584,0.8800937371461067
-3,-3,50,2.0,0.785611150813153,0.14196825271376418,0.35271609140437366,-1.5102833326594571,0.9142808437081826
-3,-3,50,2.5,0.7046870621659418,-0.101683241849686,0.01863808911005016,-2.327069543757888,0.905498221598282
-3,-3,50,3.0,0.6235146055558214,-0.3444973366238024,-0.20803667732775222,-3.0278816722356963,0.9193827071041862
-3,-3,50,3.5,0.5422448464051657,-0.5869847820738898,-0.4386061534308407,-3.7277353933573187,0.9256797036775107
-3,-3,50,4.0,0.4608822003953328,-0.8294138576897558,-0.6666880885088358,-4.424826492053982,0.9306066646626419
-3,-3,50,4.5,0.37941664283909515,-1.0718905815731274,-0.9698138125383722,-5.206569289195386,0.9237274125590782
-3,-3,50,5.0,0.29784879944524156,-1.3144502707490147,-1.2097945106435544,-5.925274205316445,0.9269769921111289
-3,-3,60,0.5,1.0264544445536326,0.7952882294284389,0.9584789898982904,-0.03553468222495793,0.7613004763302105
-3,-3,60,1.0,0.949260881911203,0.5953023142715025,0.8074818956479927,-0.22820400762989917,0.8144950351941757
