1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.000050	0.000000	1.720979	0.000152	45.1
1	-0.002797	0.000000	1.720979	0.017645	0.4
2	-0.000065	0.000000	1.720979	0.000089	0.5
3	-0.003760	0.000000	1.720979	0.015797	0.5
4	-0.010590	0.000000	1.720979	0.013445	0.4
5	-0.003283	0.994966	1.643129	0.017046	0.4
6	-0.011485	0.014746	1.719772	0.007946	0.4
7	-0.000044	0.548676	1.677159	0.000058	0.4
8	-0.002825	0.542716	1.677623	0.006712	0.3
9	-0.004400	0.539742	1.677855	0.005677	0.4
10	-0.009811	0.264750	1.699553	0.012315	0.4
11	-0.004091	0.962316	1.645572	0.014184	0.4
12	-0.010993	0.000000	1.720979	0.003288	0.8
13	-0.004395	0.012248	1.719976	0.002772	0.3
14	-0.003791	0.146560	1.709052	0.005859	0.6
15	-0.004382	0.316367	1.695437	0.012346	0.4
16	-0.002565	0.000000	1.720979	0.005679	0.5
17	-0.002848	0.000000	1.720979	0.008190	0.5
18	-0.003093	0.000000	1.720979	0.012731	0.5
19	-0.000049	0.874573	1.652172	0.000037	0.4
20	-0.003691	0.878077	1.651908	0.005063	0.4
21	-0.002935	0.879790	1.651778	0.009086	0.4
22	-0.011773	1.135056	1.632730	0.010633	0.4
23	-0.003303	2.051116	1.567844	0.002549	0.4
24	-0.003732	2.131808	1.562375	0.003297	0.4
25	-0.014062	2.118750	1.563258	0.018821	0.4
26	-0.009430	2.497526	1.538058	0.022958	0.7
27	-0.007323	3.497237	1.475291	0.004005	0.4
28	-0.004247	2.817457	1.517398	0.021673	0.3
29	-0.003640	2.083975	1.565613	0.005812	0.4
30	-0.003306	2.908738	1.511605	0.026437	0.4
31	-0.011440	1.940824	1.575382	0.014025	0.4
32	-0.006885	0.959290	1.645798	0.020271	0.4
33	-0.003714	1.093056	1.635834	0.009869	0.3
34	-0.005685	0.115848	1.711537	0.014268	0.4
35	-0.003437	0.881187	1.651673	0.010253	0.4
36	-0.004978	1.722863	1.590493	0.061302	0.4
37	-0.011052	2.722863	1.523449	0.016980	0.5
38	-0.014337	1.741173	1.589213	0.013497	0.4
39	-0.002225	0.778991	1.659423	0.047904	0.5
40	-0.014391	0.000000	1.720979	0.011449	0.4
41	-0.009738	0.000000	1.720979	0.025380	0.3
42	-0.000055	0.999885	1.642761	0.000061	0.4
43	-0.010819	1.020457	1.641227	0.014338	0.4
44	-0.003691	1.007606	1.642185	0.017781	0.4
45	-0.003411	0.027298	1.718745	0.007983	0.4
46	-0.015977	0.000000	1.720979	0.014664	0.4
47	-0.013605	0.959529	1.645780	0.013030	0.4
48	-0.004479	1.951825	1.574627	0.002532	0.7
49	-0.011023	1.478578	1.607778	0.052739	0.4
50	-0.007615	0.514691	1.679809	0.016433	0.4
51	-0.003981	1.514691	1.605199	0.028512	0.4
52	-0.007174	0.532993	1.678381	0.008746	0.4
53	-0.005813	0.000000	1.720979	0.040397	0.7
54	-0.003142	0.993038	1.643273	0.008225	0.5
55	-0.003730	1.402497	1.613238	0.000213	0.5
56	-0.003975	1.392386	1.613967	0.015468	0.4
57	-0.001988	1.363548	1.616048	0.048612	0.4
58	-0.000041	2.363548	1.546878	0.000065	0.4
59	-0.000339	2.341057	1.548369	0.014067	0.4
60	-0.003690	2.334181	1.548825	0.019536	0.5
61	-0.004430	3.313414	1.486445	0.001729	0.4
62	-0.003802	2.904957	1.511844	0.004523	0.4
63	-0.008729	2.978544	1.507204	0.011540	0.4
64	-0.003779	3.266728	1.489305	0.001187	0.4
65	-0.005583	3.237737	1.491087	0.006751	0.4
66	-0.000040	3.155291	1.496176	0.000000	0.3
67	-0.004045	3.155288	1.496176	0.014685	0.4
68	-0.006147	3.155303	1.496175	0.039446	0.4
69	-0.003650	4.155302	1.436698	0.003054	0.4
70	-0.008156	5.060961	1.386770	0.006943	0.4
71	-0.003420	5.135889	1.382794	0.066649	0.4
72	-0.000082	6.129307	1.332159	0.000069	0.4
73	-0.002599	6.054099	1.335863	0.011511	0.4
74	-0.012979	6.056604	1.335739	0.054566	0.4
75	-0.006908	7.056599	1.288131	0.023715	0.3
76	-0.004915	6.074901	1.334836	0.018055	0.5
77	-0.003572	7.074900	1.287291	0.011626	0.4
78	-0.000019	6.133640	1.331947	0.000080	0.4
79	-0.009171	6.149968	1.331146	0.039633	0.4
80	-0.006780	6.161699	1.330571	0.029556	0.4
81	-0.009907	7.161699	1.283323	0.026563	0.3
82	-0.003144	8.161698	1.239316	0.052069	0.3
83	-0.013850	7.180049	1.282488	0.024106	0.4
84	-0.006937	8.180049	1.238537	0.013961	0.4
85	-0.004924	9.176497	1.197639	0.008991	0.4
86	-0.003165	8.363879	1.230783	0.016206	0.4
87	-0.000047	7.398948	1.272602	0.000014	0.4
88	-0.000055	7.394991	1.272779	0.000025	0.4
89	-0.000021	7.394997	1.272779	0.000033	0.3
90	-0.007450	7.394983	1.272780	0.010365	0.4
91	-0.011361	7.395783	1.272744	0.027212	0.4
92	-0.000028	7.017285	1.289938	0.003240	0.5
93	-0.003215	7.694536	1.259493	0.001346	0.4
94	-0.007770	7.633715	1.262168	0.017769	0.4
95	-0.009699	8.024061	1.245193	0.050902	0.4
96	-0.007650	8.286434	1.234038	0.025735	0.4
97	-0.019512	7.312855	1.276472	0.023084	0.4
98	-0.003267	6.331206	1.322319	0.025427	0.3
99	-0.003783	7.316992	1.276285	0.009015	0.3
100	-0.003078	6.700168	1.304706	0.011604	0.4
101	-0.002923	5.802248	1.348415	0.025736	0.4
102	-0.000050	6.802006	1.299926	0.000085	0.3
103	-0.009389	6.769349	1.301455	0.009470	0.3
104	-0.006878	6.765674	1.301627	0.010038	0.4
105	-0.004167	7.444794	1.270551	0.015601	0.4
106	-0.003584	6.480756	1.315123	0.021028	0.4
107	-0.006805	7.471772	1.269347	0.028928	0.4
108	-0.006614	6.490074	1.314677	0.007441	0.4
109	-0.008384	7.018651	1.289875	0.033633	0.4
110	-0.004430	6.042850	1.336418	0.006987	0.3
111	-0.000042	6.968081	1.292207	0.000031	0.4
112	-0.005982	6.966385	1.292286	0.030691	0.3
113	-0.004219	6.958715	1.292640	0.019210	0.4
114	-0.003712	5.977020	1.339680	0.017001	0.4
115	-0.007006	6.976860	1.291802	0.021918	0.4
116	-0.005577	7.934492	1.249048	0.035892	0.4
117	-0.012781	6.952795	1.292914	0.061323	0.4
118	-0.008169	7.952795	1.248258	0.036232	0.3
119	-0.006706	8.952795	1.206584	0.007931	0.4
120	-0.002689	8.098025	1.242028	0.009386	0.5
121	-0.003289	7.861562	1.252204	0.002409	0.4
122	-0.003560	7.899299	1.250569	0.025344	0.4
123	-0.004514	8.585838	1.221549	0.000039	0.4
124	-0.003379	8.601278	1.220912	0.006742	0.4
125	-0.002960	8.599949	1.220967	0.074382	0.4
126	-0.011348	7.618309	1.262848	0.018594	0.4
127	-0.008708	6.636906	1.307692	0.051697	0.4
128	-0.003516	5.660028	1.355609	0.006763	0.4
129	-0.006692	6.660002	1.306600	0.011227	0.4
130	-0.000045	5.916761	1.342679	0.000014	0.7
131	-0.000030	5.916456	1.342694	0.000049	0.6
132	-0.000042	5.916456	1.342694	0.000032	0.4
133	-0.006408	5.916435	1.342695	0.014810	0.4
134	-0.006785	5.915105	1.342761	0.009088	0.4
135	-0.003796	5.010567	1.389457	0.006841	0.4
136	-0.001598	5.287802	1.374804	0.050787	0.3
137	-0.003309	6.282452	1.324682	0.009838	0.4
138	-0.012250	7.282421	1.277845	0.007626	0.5
139	-0.003040	7.837646	1.253242	0.020000	0.4
140	-0.000032	8.638587	1.219375	0.000010	0.4
141	-0.011703	8.639790	1.219326	0.025328	0.4
142	-0.000043	8.641616	1.219251	0.000010	0.4
143	-0.014224	8.645243	1.219102	0.018892	0.4
144	-0.003258	8.642848	1.219200	0.014644	0.3
145	-0.015128	7.667748	1.260670	0.031063	0.4
146	-0.015639	6.686095	1.305369	0.019658	0.7
147	-0.000036	7.686095	1.259863	0.000027	0.4
148	-0.004164	7.695251	1.259461	0.014529	0.5
149	-0.004564	7.701772	1.259175	0.049989	0.4
150	-0.007237	8.701772	1.216781	0.013235	0.5
151	-0.000029	9.701772	1.177149	0.000032	0.4
152	-0.013169	9.705475	1.177007	0.035631	0.4
153	-0.003437	9.693383	1.177471	0.019772	0.4
154	-0.011530	8.711686	1.216375	0.007100	0.4
155	-0.007250	9.062205	1.202193	0.006087	0.4
156	-0.003259	8.617814	1.220231	0.006151	0.4
157	-0.009077	8.895324	1.208904	0.016504	0.4
158	-0.005436	9.302422	1.192663	0.012266	0.4
159	-0.004465	8.641414	1.219259	0.007374	0.4
160	-0.000037	9.515926	1.184318	0.000029	0.6
161	-0.001971	9.514601	1.184369	0.012329	0.4
162	-0.004535	9.510868	1.184514	0.000027	0.4
163	-0.003215	9.506821	1.184672	0.010475	0.4
164	-0.000068	9.508116	1.184621	0.000007	0.4
165	-0.000054	9.507528	1.184644	0.000124	0.5
166	-0.005772	9.507516	1.184645	0.045384	0.4
167	-0.004497	9.499621	1.184951	0.003501	0.4
168	-0.002872	10.491822	1.147617	0.003157	0.4
169	-0.000052	10.612643	1.143231	0.000049	0.4
170	-0.002735	10.612293	1.143244	0.008918	0.4
171	-0.000059	10.617949	1.143039	0.001973	0.4
172	-0.004263	10.743731	1.138510	0.019634	0.4
173	-0.011225	10.630818	1.142574	0.032749	0.4
174	-0.010732	11.630818	1.107559	0.032562	0.4
175	-0.010547	10.649120	1.141914	0.020123	0.4
176	-0.003050	9.667500	1.178465	0.014222	0.6
177	-0.004511	10.665851	1.141310	0.000047	0.4
178	-0.000061	10.675347	1.140968	0.000102	0.6
179	-0.003008	10.675408	1.140966	0.029843	0.4
180	-0.007347	10.702593	1.139988	0.021908	0.4
181	-0.007276	9.720895	1.176416	0.010776	0.6
182	-0.003571	10.719851	1.139367	0.013949	0.4
183	-0.011636	11.655872	1.106709	0.024226	0.3
184	-0.012866	10.677734	1.140882	0.066751	0.4
185	-0.006765	9.696036	1.177369	0.009196	0.4
186	-0.005391	8.714384	1.216265	0.038243	0.4
187	-0.003288	9.588636	1.181503	0.007153	0.4
188	-0.007823	8.640862	1.219282	0.011550	0.4
189	-0.007623	9.007535	1.204383	0.006445	0.4
190	-0.007342	9.864068	1.170959	0.011722	0.4
191	-0.004143	9.728447	1.176127	0.001008	0.4
192	-0.003898	9.797840	1.173477	0.008735	0.3
193	-0.003611	9.807058	1.173126	0.024027	0.4
194	-0.008454	10.729652	1.139015	0.008189	0.4
195	-0.003619	9.846462	1.171627	0.004474	0.4
196	-0.000054	10.206419	1.158113	0.000065	0.4
197	-0.007416	10.206942	1.158094	0.001682	0.3
198	-0.007156	10.208671	1.158030	0.010896	0.4
199	-0.010729	9.955835	1.167488	0.029193	0.4
200	-0.000046	10.955677	1.130959	0.000037	0.4
201	-0.004494	10.964471	1.130648	0.000864	0.4
202	-0.004580	10.963935	1.130667	0.000016	0.7
203	-0.012736	10.963979	1.130665	0.025489	0.5
204	-0.008226	10.959598	1.130820	0.037551	0.4
205	-0.000041	9.977901	1.166656	0.000077	0.6
206	-0.000032	9.971116	1.166912	0.000072	0.5
207	-0.008140	9.971021	1.166915	0.019641	0.4
208	-0.000054	9.993124	1.166083	0.000008	0.4
209	-0.008161	9.990477	1.166183	0.003990	0.4
210	-0.000038	9.990888	1.166167	0.000003	0.4
211	-0.007065	9.990937	1.166166	0.012118	0.4
212	-0.015245	9.991166	1.166157	0.018607	0.4
213	-0.022189	10.958704	1.130852	0.031104	0.4
214	-0.016754	9.977008	1.166690	0.054679	0.4
215	-0.010720	10.977008	1.130205	0.058184	0.3
216	-0.000065	11.977008	1.095932	0.000066	0.4
217	-0.010014	11.932180	1.097424	0.016748	0.4
218	-0.004812	11.947364	1.096918	0.049717	0.4
219	-0.003852	12.342024	1.083934	0.013668	0.3
220	-0.000053	13.342022	1.052371	0.000072	0.4
221	-0.000024	13.339078	1.052462	0.000029	0.4
222	-0.011342	13.339074	1.052462	0.031619	0.4
223	-0.004421	13.332919	1.052650	0.009777	0.4
224	-0.013254	12.351268	1.083634	0.043166	0.4
225	-0.014751	11.960595	1.096478	0.026085	0.4
226	-0.007487	10.978905	1.130138	0.016494	0.4
227	-0.010059	9.997225	1.165929	0.018939	0.4
228	-0.004201	9.049396	1.202705	0.021866	0.5
229	-0.000046	10.049380	1.163971	0.000002	0.4
230	-0.003579	10.049638	1.163961	0.004180	0.4
231	-0.007798	10.049607	1.163962	0.012927	0.4
232	-0.009656	9.509650	1.184562	0.018130	0.4
233	-0.000023	10.165971	1.159616	0.000003	0.4
234	-0.005689	10.165517	1.159633	0.016067	0.4
235	-0.010031	10.166300	1.159604	0.044330	0.4
236	-0.008370	9.184602	1.197318	0.008309	0.4
237	-0.000049	8.202914	1.237567	0.000054	0.4
238	-0.009836	8.195160	1.237896	0.042037	0.5
239	-0.000054	8.203763	1.237531	0.000042	0.4
240	-0.015045	8.172531	1.238856	0.024936	0.5
241	-0.007887	8.167602	1.239065	0.000438	0.6
242	-0.003296	8.035333	1.244710	0.005168	0.4
243	-0.001556	8.040100	1.244505	0.026224	0.4
244	-0.006980	7.413204	1.271964	0.016507	0.4
245	-0.006771	8.413140	1.228722	0.021060	0.4
246	-0.004040	9.068914	1.201924	0.007299	0.3
247	-0.000048	8.123511	1.240941	0.000014	0.4
248	-0.004469	8.124219	1.240911	0.056314	0.4
249	-0.004328	8.116252	1.241250	0.019187	0.4
250	-0.002866	7.134554	1.284561	0.003842	0.4
251	-0.003889	7.130579	1.284743	0.014370	0.4
252	-0.005775	6.895230	1.295582	0.014324	0.3
253	-0.003906	6.278495	1.324874	0.022847	0.4
254	-0.006265	5.299174	1.374209	0.005738	0.4
255	-0.003148	5.656110	1.355808	0.033698	0.4
256	-0.003868	4.736302	1.404264	0.012364	0.4
257	-0.008513	3.754634	1.459951	0.010517	0.4
258	-0.000012	3.012850	1.505051	0.000013	0.4
259	-0.004669	3.012415	1.505078	0.063175	0.4
260	-0.000032	3.005809	1.505492	0.000061	0.4
261	-0.012391	3.049302	1.502770	0.027501	0.4
262	-0.000054	3.049120	1.502781	0.000018	0.4
263	-0.000035	3.052290	1.502583	0.000045	0.4
264	-0.006679	3.052286	1.502583	0.011286	0.4
265	-0.007203	3.052014	1.502600	0.011611	0.4
266	-0.006254	3.987957	1.446319	0.019670	0.4
267	-0.007156	3.833393	1.455321	0.020128	0.3
268	-0.013938	4.833379	1.398987	0.053758	0.4
269	-0.000036	5.833379	1.346851	0.000020	0.4
270	-0.003497	5.823655	1.347339	0.000040	0.5
271	-0.006897	5.823655	1.347339	0.008235	0.4
272	-0.004082	5.827825	1.347130	0.011035	0.5
273	-0.003439	6.497618	1.314316	0.030258	0.4
274	-0.000052	7.467466	1.269539	0.000031	0.4
275	-0.000063	7.480334	1.268966	0.000038	0.4
276	-0.010740	7.480346	1.268965	0.019937	0.4
