1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.126710	0.000000	252.088204	0.002729	5.6
1	-0.131528	0.000000	252.088204	0.004201	0.6
2	-0.145804	0.000000	252.088204	0.005291	0.5
3	-0.127022	0.000000	252.088204	0.004777	0.5
4	-0.136993	0.000000	252.088204	0.004311	0.5
5	-0.145038	0.000000	252.088204	0.002888	0.5
6	-0.130151	0.000000	252.088204	0.002516	0.5
7	-0.139923	0.952391	241.151514	0.002117	0.6
8	-0.126329	1.581841	234.429611	0.002304	0.5
9	-0.154706	1.869181	231.484120	0.004825	0.5
10	-0.149910	1.370854	236.640602	0.004838	0.5
11	-0.134805	0.872522	242.032090	0.004620	0.4
12	-0.153997	0.374187	247.675024	0.002209	0.4
13	-0.137049	0.000000	252.088204	0.004030	0.5
14	-0.161627	0.000000	252.088204	0.002672	0.4
15	-0.163241	0.999694	240.632994	0.002299	0.4
16	-0.144908	1.991940	230.248175	0.003565	0.4
17	-0.140007	1.493698	235.348238	0.002889	0.4
18	-0.148850	0.995638	240.677364	0.003262	0.4
19	-0.145089	1.551286	234.747250	0.001639	0.4
20	-0.151222	1.071249	239.852865	0.003235	0.4
21	-0.118305	0.800147	242.835627	0.001696	0.5
22	-0.176674	1.251306	237.911983	0.001159	0.5
23	-0.163797	0.909189	241.627035	0.002006	0.4
24	-0.156552	0.463679	246.642349	0.003123	0.4
25	-0.165669	0.070268	251.247510	0.003967	0.4
26	-0.169977	0.000000	252.088204	0.002911	0.5
27	-0.178787	0.999966	240.630018	0.002125	0.4
28	-0.171619	1.818587	231.997379	0.006241	0.4
29	-0.179956	1.320251	237.177091	0.002656	0.4
30	-0.137925	2.320251	227.006657	0.002562	0.5
31	-0.155748	3.244388	218.353720	0.003584	0.4
32	-0.170740	2.788448	222.538780	0.001895	0.5
33	-0.162021	2.292968	227.272547	0.002730	0.7
34	-0.160121	1.855429	231.623404	0.006041	0.5
35	-0.163705	2.855429	221.913941	0.002506	0.5
36	-0.172479	3.854976	212.989633	0.002881	0.4
37	-0.143138	4.631449	206.537380	0.003222	0.5
38	-0.146366	4.140675	210.569221	0.006527	0.5
39	-0.168307	3.642344	214.827462	0.002475	0.4
40	-0.170222	3.164042	219.079746	0.002273	0.4
41	-0.164403	2.667671	223.674406	0.001899	0.4
42	-0.171302	2.980478	220.756749	0.003735	0.4
43	-0.181565	3.004501	220.535821	0.002022	0.5
44	-0.180388	3.314268	217.726165	0.004567	0.5
45	-0.158791	2.828097	222.168492	0.005739	0.6
46	-0.175035	3.827814	213.222652	0.001693	0.5
47	-0.143299	3.329497	217.589879	0.003084	0.5
48	-0.151143	3.754831	213.851282	0.004448	0.4
49	-0.173057	4.754770	205.548419	0.001557	0.4
50	-0.140745	5.726028	198.078526	0.002531	0.4
51	-0.166648	5.241021	201.739573	0.002944	0.6
52	-0.152468	4.777572	205.366601	0.003240	0.4
53	-0.180980	5.776622	197.704262	0.003685	0.5
54	-0.149445	5.280423	201.437100	0.004272	0.6
55	-0.174786	5.093914	202.876895	0.006929	0.4
56	-0.153598	6.086733	195.440782	0.002196	0.7
57	-0.165017	5.588526	199.102890	0.002482	0.5
58	-0.163196	5.117979	202.689962	0.003447	0.5
59	-0.146030	4.619745	206.631731	0.004594	0.7
60	-0.165210	4.121410	210.730700	0.004096	0.4
61	-0.177457	3.623075	214.995583	0.003903	0.6
62	-0.162526	3.124739	219.436662	0.002106	0.6
63	-0.181489	4.122265	210.723523	0.003290	0.5
64	-0.160405	4.394916	208.461106	0.005351	0.5
65	-0.147033	5.298427	201.299200	0.003942	0.4
66	-0.140859	4.800091	205.187345	0.002350	0.5
67	-0.153667	4.389957	208.501823	0.004040	0.4
68	-0.168530	5.389810	200.602135	0.001539	0.4
69	-0.159604	6.387537	193.294209	0.000846	0.4
70	-0.171619	6.772733	190.613301	0.004002	0.4
71	-0.191190	7.697684	184.469668	0.003590	0.5
72	-0.150761	7.372817	186.581836	0.001242	0.4
73	-0.158038	7.680398	184.580849	0.002331	0.5
74	-0.182109	7.464209	185.982768	0.001660	0.5
75	-0.188853	8.268365	180.872842	0.003868	0.5
76	-0.158731	9.264604	174.918933	0.002813	0.5
77	-0.158551	10.233350	169.493581	0.004551	0.4
78	-0.154546	11.231285	164.245771	0.003198	0.5
79	-0.173886	12.231282	159.303280	0.003389	0.5
80	-0.141406	13.006500	155.671779	0.004052	0.5
81	-0.163509	13.987987	151.304854	0.001578	0.5
82	-0.152937	14.916903	147.391670	0.002330	0.4
83	-0.171752	14.559309	148.873878	0.002939	0.4
84	-0.155176	15.414973	145.375701	0.005454	0.4
85	-0.190194	14.916640	147.392747	0.003546	0.4
86	-0.181093	15.916579	143.400401	0.001319	0.4
87	-0.155169	16.430434	141.431761	0.003281	0.5
88	-0.169913	17.007683	139.283739	0.004438	0.7
89	-0.157034	16.509374	141.134114	0.001871	0.4
90	-0.158269	17.507999	137.474094	0.002683	0.4
91	-0.145992	17.014761	139.257806	0.002321	0.4
92	-0.159275	16.519842	141.094738	0.002206	0.4
93	-0.164594	16.034299	142.944579	0.003686	0.4
94	-0.169425	16.729101	140.312177	0.005495	0.8
95	-0.180001	17.729101	136.689264	0.003230	0.5
96	-0.173876	18.729101	133.248731	0.004134	0.4
97	-0.155658	18.230780	134.941297	0.002788	0.4
98	-0.177567	17.732648	136.676746	0.002233	0.4
99	-0.163255	18.731421	133.240950	0.003657	0.5
100	-0.152060	18.233719	134.931186	0.001796	0.4
101	-0.152527	19.227720	131.597126	0.002261	0.4
102	-0.168506	18.801556	133.006163	0.001184	0.4
103	-0.189344	18.534137	133.905852	0.002701	0.6
104	-0.178388	18.588071	133.723421	0.003212	0.4
105	-0.149480	18.090964	135.423939	0.002400	0.5
106	-0.186041	18.956151	132.491547	0.004094	0.5
107	-0.170093	18.476159	134.102518	0.002287	0.5
108	-0.180237	17.978700	135.813978	0.004876	0.4
109	-0.150530	17.482029	137.566868	0.002165	0.4
110	-0.161612	18.479156	134.092338	0.003474	0.4
111	-0.168531	18.064868	135.514404	0.003749	0.5
112	-0.150409	19.064867	132.132031	0.002358	0.4
113	-0.158646	18.737764	133.219682	0.002149	0.4
114	-0.177754	18.268080	134.813118	0.002504	0.4
115	-0.156870	17.777114	136.520018	0.001909	0.4
116	-0.163721	18.638845	133.552133	0.003309	0.4
117	-0.163797	19.501044	130.709031	0.002403	0.4
118	-0.197815	20.498740	127.566577	0.003150	0.4
119	-0.160765	21.484389	124.607001	0.003017	0.6
120	-0.192572	22.484363	121.741516	0.003442	0.4
121	-0.151990	21.988874	123.144705	0.002892	0.7
122	-0.167969	22.060608	122.939561	0.002141	0.4
123	-0.175815	22.013969	123.072861	0.002779	0.5
124	-0.167592	21.524797	124.488595	0.002446	0.7
125	-0.179487	21.861168	123.511620	0.001521	0.4
126	-0.165014	21.399250	124.857214	0.003482	0.8
127	-0.156305	20.911333	126.310760	0.003040	0.5
128	-0.187607	21.911291	123.367351	0.002524	0.8
129	-0.146015	22.909454	120.562928	0.004170	0.5
130	-0.176555	22.411138	121.946866	0.002804	0.5
131	-0.164571	23.411132	119.201022	0.003155	0.4
132	-0.174631	22.937999	120.484601	0.003953	0.4
133	-0.150625	22.439665	121.866784	0.001579	0.4
134	-0.183042	23.408023	119.209366	0.002037	0.5
135	-0.162537	23.045219	120.191304	0.002468	0.4
136	-0.181808	22.846490	120.736056	0.003810	0.4
137	-0.185519	22.348440	122.123246	0.001659	0.5
138	-0.167046	21.866201	123.497117	0.002128	0.5
139	-0.184250	21.378282	124.918993	0.003120	0.4
140	-0.164790	21.926202	123.324496	0.001764	0.4
141	-0.192021	21.477503	124.627200	0.003126	0.4
142	-0.180252	21.724026	123.908086	0.003698	0.5
143	-0.168051	21.225700	125.370385	0.002361	0.4
144	-0.175890	21.437338	124.745154	0.004218	0.4
145	-0.146728	22.197123	122.551039	0.002701	0.4
146	-0.169535	21.698895	123.981014	0.001620	0.4
147	-0.164873	22.456384	121.819898	0.001780	0.4
148	-0.188231	22.954759	120.438661	0.002432	0.4
149	-0.155208	22.498706	121.701374	0.004741	0.4
150	-0.179096	22.002049	123.106977	0.002670	0.5
151	-0.147917	21.919918	123.342554	0.007317	0.5
152	-0.177107	22.875284	120.656821	0.002815	0.4
153	-0.186130	23.875284	117.968107	0.001408	0.4
154	-0.172615	23.580928	118.747018	0.001727	0.4
155	-0.153259	23.504769	118.950224	0.001204	0.5
156	-0.165431	23.201981	119.765045	0.002646	0.7
157	-0.164926	24.025635	117.574184	0.003331	0.5
158	-0.163177	23.528128	118.887825	0.002921	0.4
159	-0.175589	23.029797	120.233402	0.004005	0.7
160	-0.160118	24.029772	117.563383	0.002765	0.5
161	-0.162404	25.029745	115.009375	0.001387	0.4
162	-0.153431	25.544994	113.736234	0.001108	0.4
163	-0.145338	25.300800	114.336086	0.004813	0.4
164	-0.159128	25.024983	115.021276	0.001706	0.4
165	-0.172404	24.527125	116.279081	0.003611	0.4
166	-0.172186	24.033287	117.554205	0.002708	0.4
167	-0.187677	25.028102	115.013481	0.002314	0.4
168	-0.150204	24.573863	116.159831	0.002164	0.4
169	-0.180706	25.369499	114.166692	0.006404	0.4
170	-0.159589	26.369499	111.756561	0.002385	0.4
171	-0.152385	25.872676	112.941116	0.002964	0.4
172	-0.142270	25.374944	114.153288	0.001408	0.4
173	-0.166047	25.880000	112.923470	0.002033	0.5
174	-0.147054	25.560167	113.699167	0.003653	0.5
175	-0.174213	25.061939	114.928993	0.003032	0.4
176	-0.157451	25.632680	113.522369	0.002049	0.4
177	-0.168985	25.143707	114.725334	0.002546	0.4
178	-0.160243	24.661049	115.938035	0.004512	0.4
179	-0.161452	25.656754	113.463793	0.003041	0.4
180	-0.182268	25.158420	114.688766	0.002557	0.5
181	-0.166097	24.661729	115.936307	0.004099	0.5
182	-0.190957	24.171230	117.195222	0.002678	0.5
183	-0.159697	25.171203	114.657013	0.002381	0.5
184	-0.164886	24.679521	115.891151	0.004018	0.5
185	-0.168437	25.679237	113.409143	0.004273	0.5
186	-0.170368	25.180902	114.632935	0.003048	0.7
187	-0.169248	26.178325	112.209417	0.003480	0.6
188	-0.202160	25.680026	113.407227	0.002799	0.5
189	-0.166134	26.666658	111.059858	0.002835	0.4
190	-0.192966	27.535266	109.072283	0.003345	0.5
191	-0.180583	28.534972	106.871007	0.002939	0.5
192	-0.171661	28.036654	107.957045	0.001156	0.6
193	-0.145613	28.936207	106.012303	0.002316	0.5
194	-0.164019	29.424616	104.985476	0.005195	0.5
195	-0.143440	28.926297	106.033345	0.001854	0.6
196	-0.178694	29.919487	103.965154	0.004074	0.5
197	-0.171018	29.425461	104.983716	0.003136	0.4
198	-0.150874	30.296906	103.200225	0.003329	0.4
199	-0.182400	30.114889	103.567716	0.002907	0.4
200	-0.172063	31.104110	101.601433	0.004011	0.4
201	-0.175807	31.501630	100.832151	0.002459	0.4
202	-0.167786	32.501550	98.947644	0.003481	0.4
203	-0.166594	32.004022	99.876425	0.003168	0.4
204	-0.160319	31.505689	100.824356	0.005589	0.5
205	-0.165125	32.505689	98.939989	0.001436	0.5
206	-0.180664	32.919372	98.180896	0.002153	0.4
207	-0.167914	33.548569	97.048417	0.001812	0.4
208	-0.159195	33.118577	97.819502	0.002343	0.4
209	-0.178188	34.095980	96.084185	0.004095	0.5
210	-0.163385	33.597699	96.961087	0.002240	0.4
211	-0.157920	33.344044	97.413662	0.003751	0.5
212	-0.173410	32.845761	98.315116	0.002722	0.4
213	-0.192820	32.347515	99.233343	0.001572	0.6
214	-0.184026	32.715778	98.553023	0.003215	0.4
215	-0.162027	32.887717	98.238571	0.002539	0.5
216	-0.192137	33.875675	96.469926	0.002493	0.5
217	-0.180346	34.873038	94.747887	0.002544	0.5
218	-0.162380	35.600446	93.530223	0.003756	0.8
219	-0.180789	36.567363	91.959262	0.002957	0.5
220	-0.164100	37.567346	90.389144	0.002736	0.5
221	-0.178264	37.070124	91.163095	0.001009	0.5
222	-0.160570	37.308572	90.790291	0.002429	0.5
223	-0.155176	37.410631	90.631657	0.002813	0.6
224	-0.151942	37.239335	90.898226	0.001850	0.6
225	-0.192365	37.875288	89.916372	0.001274	0.5
226	-0.160029	37.549381	90.416879	0.003905	0.5
227	-0.189993	38.506947	88.961921	0.001823	0.5
228	-0.170715	39.479688	87.531078	0.003217	0.5
229	-0.165248	38.985278	88.252526	0.002546	0.5
230	-0.155358	39.885975	86.946991	0.002767	0.5
231	-0.165518	39.387997	87.663982	0.007107	0.5
232	-0.141156	40.387997	86.235951	0.001133	0.5
233	-0.183175	41.381177	84.862975	0.003462	0.5
234	-0.176651	41.252412	85.038508	0.004460	0.5
235	-0.165926	40.754077	85.724741	0.003226	0.6
236	-0.174603	40.255742	86.422140	0.002696	0.6
237	-0.171398	39.945541	86.862012	0.003683	0.5
238	-0.156203	39.447207	87.578112	0.002462	0.5
239	-0.175098	38.949149	88.305712	0.001381	0.5
240	-0.176697	39.214332	87.916814	0.006636	0.5
241	-0.177135	40.206328	86.491911	0.002195	0.4
242	-0.195947	39.874780	86.962980	0.002035	0.4
243	-0.164137	39.413679	87.626715	0.001954	0.5
244	-0.162357	39.020434	88.200832	0.001351	0.5
245	-0.170827	39.572830	87.396482	0.003318	0.5
246	-0.156633	39.188071	87.955174	0.003792	0.5
247	-0.153032	40.188070	86.517719	0.002327	0.4
248	-0.152555	41.186556	85.128565	0.003000	0.4
249	-0.160803	41.972825	84.065663	0.003323	0.5
250	-0.157301	41.474755	84.735863	0.002998	0.5
251	-0.149391	42.392843	83.508674	0.005992	0.4
252	-0.177051	43.391866	82.213059	0.002510	0.4
253	-0.145564	44.391865	80.955823	0.002449	0.4
254	-0.154026	43.897919	81.571988	0.002221	0.4
255	-0.173024	44.861462	80.378603	0.002681	0.6
256	-0.165252	45.856284	79.182568	0.002203	0.5
257	-0.167693	46.060126	78.941878	0.001505	0.4
258	-0.180940	45.733877	79.327809	0.001987	0.5
259	-0.174132	46.363018	78.586922	0.003775	0.4
260	-0.170927	45.864936	79.172322	0.003144	0.4
261	-0.159820	46.152421	78.833379	0.003207	0.4
262	-0.163121	47.149836	77.679604	0.005214	0.7
263	-0.165483	48.149836	76.556252	0.003868	0.7
264	-0.170780	47.651501	77.111966	0.002305	0.5
265	-0.177859	47.155642	77.672986	0.002085	0.5
266	-0.151400	46.661789	78.239910	0.002025	0.5
267	-0.142423	46.224023	78.749412	0.002693	0.4
268	-0.155074	45.745778	79.313665	0.005785	0.4
269	-0.162586	46.745125	78.143664	0.004138	0.5
270	-0.170504	46.246789	78.722751	0.003296	0.5
271	-0.190785	45.748455	79.310484	0.001273	0.4
272	-0.174132	45.604290	79.482152	0.002850	0.4
273	-0.153477	45.208290	79.957544	0.003823	0.5
274	-0.172254	46.208230	78.767917	0.005014	0.5
275	-0.159240	47.208230	77.613102	0.005230	0.4
276	-0.148343	48.208230	76.491658	0.004614	0.4
277	-0.161448	49.208230	75.402161	0.002549	0.4
278	-0.180948	49.102613	75.515762	0.002776	0.5
279	-0.179326	49.464837	75.127575	0.002628	0.5
280	-0.146950	48.970500	75.658346	0.001692	0.5
281	-0.158146	48.562131	76.102503	0.002045	0.8
282	-0.152123	48.186432	76.515758	0.004816	0.5
283	-0.165989	49.185758	75.426304	0.004259	0.4
284	-0.147082	48.687422	75.965678	0.003414	0.5
285	-0.170293	49.687422	74.891007	0.002921	1.0
286	-0.159377	50.685604	73.848193	0.001537	0.6
287	-0.173200	50.315578	74.231359	0.004096	0.6
288	-0.168417	50.517715	74.021552	0.003978	0.4
289	-0.172965	50.019380	74.540953	0.001909	0.5
290	-0.145787	51.017254	73.508110	0.002570	0.5
291	-0.171051	50.655515	73.879202	0.002700	0.4
292	-0.169662	51.461244	73.057706	0.004575	0.4
293	-0.159433	52.460506	72.063923	0.002178	0.5
294	-0.192884	52.008651	72.509932	0.001523	0.5
295	-0.177119	52.185338	72.334875	0.006730	0.5
296	-0.145051	53.147804	71.395941	0.002746	0.5
297	-0.145830	54.147804	70.445868	0.001668	0.5
298	-0.173798	55.012007	69.644948	0.002619	0.5
299	-0.150207	55.503682	69.197353	0.002150	0.6
300	-0.159136	55.996686	68.754287	0.004131	0.5
301	-0.187012	56.969844	67.896151	0.002566	0.7
302	-0.179020	56.478791	68.326470	0.004260	0.5
303	-0.174531	55.980904	68.768383	0.003816	0.5
304	-0.177701	56.980653	67.886740	0.004042	0.5
305	-0.141228	57.924752	67.074677	0.003960	0.4
306	-0.189550	57.428841	67.498795	0.003042	0.5
307	-0.161870	56.930506	67.930424	0.001951	0.5
308	-0.168940	57.884994	67.108483	0.005465	0.5
309	-0.167791	58.403418	66.670333	0.003672	0.5
310	-0.175140	57.905180	67.091315	0.004840	0.5
311	-0.156457	58.901134	66.255033	0.004069	0.6
312	-0.166771	59.901134	65.436070	0.001609	0.5
313	-0.159766	60.554154	64.912111	0.006553	0.7
314	-0.163264	60.101161	65.274679	0.002777	0.5
315	-0.159534	61.101159	64.479629	0.003114	1.0
