1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.189008	0.000000	16.575231	0.003014	9.9
1	-0.191789	0.000000	16.575231	0.002340	0.4
2	-0.193819	0.000000	16.575231	0.009581	0.4
3	-0.197343	0.000000	16.575231	0.002098	0.4
4	-0.172441	0.000000	16.575231	0.009951	0.4
5	-0.176703	0.594483	16.118925	0.010125	0.4
6	-0.188297	1.594181	15.405730	0.005283	0.4
7	-0.205169	1.219472	15.665532	0.008459	0.4
8	-0.198111	2.014715	15.124230	0.004015	0.4
9	-0.188527	1.673056	15.352136	0.005324	0.4
10	-0.177705	1.823967	15.250628	0.013225	0.5
11	-0.198492	1.485605	15.480120	0.008562	0.5
12	-0.187819	1.095281	15.753583	0.007750	0.4
13	-0.154347	2.091395	15.074007	0.006774	0.3
14	-0.183201	3.080331	14.454944	0.012010	0.3
15	-0.188623	4.079686	13.878956	0.004096	0.4
16	-0.200621	4.183312	13.821846	0.002926	0.4
17	-0.212958	4.039675	13.901133	0.006921	0.4
18	-0.202695	4.344102	13.734156	0.002845	0.4
19	-0.192692	4.667023	13.561364	0.002605	0.4
20	-0.218151	4.661904	13.564069	0.003999	0.3
21	-0.218150	4.735543	13.525257	0.009922	0.5
22	-0.179036	4.572879	13.611289	0.002690	0.4
23	-0.217389	4.523396	13.637678	0.006536	0.4
24	-0.201725	4.357203	13.727060	0.003902	0.4
25	-0.202562	4.006440	13.919608	0.011358	0.6
26	-0.194272	3.636888	14.128402	0.010632	0.4
27	-0.196341	4.634225	13.578715	0.004847	0.5
28	-0.202113	4.340420	13.736152	0.009538	0.4
29	-0.174926	3.988022	13.929868	0.004031	0.4
30	-0.168997	3.708257	14.087592	0.007355	0.4
31	-0.210706	3.797258	14.037030	0.007470	0.4
32	-0.221654	3.412665	14.258167	0.006689	0.4
33	-0.202510	3.043162	14.477291	0.012108	0.4
34	-0.198120	4.029692	13.906677	0.003621	0.4
35	-0.189254	4.995105	13.390207	0.011985	0.4
36	-0.199263	5.864135	12.957046	0.000975	0.4
37	-0.189252	6.238946	12.778756	0.010738	0.4
38	-0.195635	6.533673	12.641969	0.002541	0.4
39	-0.172418	6.191798	12.800913	0.011745	0.3
40	-0.173387	6.925102	12.464766	0.004100	0.4
41	-0.221597	6.537312	12.640299	0.017583	0.4
42	-0.198213	6.146974	12.822049	0.007889	0.4
43	-0.180156	7.146973	12.366511	0.002862	0.8
44	-0.209523	7.808338	12.082608	0.004713	0.4
45	-0.208749	7.579367	12.179411	0.002867	0.4
46	-0.176008	7.421920	12.246880	0.008052	0.3
47	-0.211935	7.663655	12.143596	0.008955	0.4
48	-0.167146	8.660638	11.735413	0.005689	0.4
49	-0.195348	8.377400	11.848559	0.008125	0.4
50	-0.205305	7.998916	12.003202	0.007194	0.4
51	-0.166573	7.609006	12.166793	0.001640	0.7
52	-0.190755	7.606862	12.167704	0.009834	0.3
53	-0.210706	7.347083	12.279212	0.003712	0.3
54	-0.197556	8.138710	11.945616	0.002525	0.4
55	-0.195510	8.011260	11.998095	0.005481	0.6
56	-0.185324	7.875544	12.054486	0.003320	0.4
57	-0.188686	7.709493	12.124208	0.005771	0.4
58	-0.168848	7.872827	12.055621	0.003419	0.3
59	-0.187896	8.565675	11.773107	0.010646	0.4
60	-0.210139	9.253602	11.505402	0.001915	0.4
61	-0.192875	9.103644	11.562715	0.004583	0.4
62	-0.207061	9.285649	11.493227	0.004654	0.4
63	-0.223558	9.222030	11.517421	0.008124	0.4
64	-0.176660	8.838955	11.665283	0.006164	0.4
65	-0.204570	9.525159	11.403048	0.007075	0.4
66	-0.211535	10.481595	11.056614	0.003258	0.5
67	-0.210559	10.271245	11.130988	0.009752	0.4
68	-0.200352	10.199308	11.156653	0.005162	0.4
69	-0.184340	11.048799	10.860933	0.008052	0.4
70	-0.190391	10.663159	10.993213	0.007481	0.4
71	-0.193432	11.574070	10.685795	0.007457	0.4
72	-0.203713	12.490792	10.393300	0.004061	0.4
73	-0.209780	12.963113	10.248762	0.004204	0.3
