1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.091666	0.000000	465.400232	0.007015	9.4
1	-0.118933	0.000000	465.400232	0.007171	0.4
2	-0.126596	0.949366	445.270477	0.011256	0.4
3	-0.087367	1.949366	425.868177	0.011444	0.5
4	-0.116023	2.949366	408.086155	0.006134	0.5
5	-0.098933	2.264045	420.107719	0.016248	0.5
6	-0.121099	3.264045	402.793718	0.016153	0.4
7	-0.119100	4.264045	386.850359	0.004766	0.5
8	-0.122781	3.538682	398.285641	0.013854	0.4
9	-0.122335	4.538682	382.690254	0.005545	0.4
10	-0.118860	3.802768	394.044927	0.004997	0.6
11	-0.115130	4.802757	378.773661	0.006615	0.6
12	-0.111110	4.102105	389.346030	0.008568	0.5
13	-0.100768	5.102105	374.429763	0.006128	0.5
14	-0.106653	4.365514	385.302844	0.007073	0.5
15	-0.105792	5.365514	370.688950	0.006769	0.5
16	-0.096115	5.474132	369.168091	0.008136	0.5
17	-0.109721	6.472920	355.746853	0.009403	0.5
18	-0.092149	7.472883	343.253084	0.010584	0.7
19	-0.091898	8.472883	331.606681	0.015223	0.6
20	-0.129805	9.472883	320.724656	0.009721	0.5
21	-0.098377	10.472883	310.534148	0.011305	0.7
22	-0.103681	11.472883	300.971272	0.012559	0.6
23	-0.136404	12.472883	291.979777	0.007135	0.6
24	-0.138658	13.472883	283.509937	0.014110	0.4
25	-0.131108	14.471205	275.530670	0.005943	0.5
26	-0.095733	15.471205	267.975925	0.006406	0.5
27	-0.099621	14.734788	273.498334	0.012792	0.5
28	-0.093529	13.998197	279.254521	0.005811	0.5
29	-0.093008	14.997132	271.505096	0.009634	0.5
30	-0.124840	15.997132	264.166551	0.013286	0.5
31	-0.093391	16.997132	257.214275	0.008093	0.5
32	-0.116142	17.997132	250.618553	0.006936	0.5
33	-0.111623	18.997132	244.352640	0.013138	0.5
34	-0.112383	19.997132	238.392403	0.009291	0.5
35	-0.123499	20.993399	232.736693	0.011651	0.5
36	-0.134201	21.993399	227.323381	0.011670	0.4
37	-0.101976	21.256809	231.285918	0.013318	0.4
38	-0.104381	22.256809	225.939109	0.008474	0.5
39	-0.124815	21.520219	229.853118	0.010609	0.5
40	-0.139433	22.520219	224.571593	0.007021	0.4
41	-0.136071	23.520219	219.527332	0.009425	0.4
42	-0.095226	22.788294	223.196750	0.010659	0.4
43	-0.106999	23.788294	218.213377	0.005655	0.4
44	-0.103235	24.783953	213.467913	0.007300	0.5
45	-0.121567	24.047363	216.958425	0.008335	0.8
46	-0.108681	25.045817	212.253914	0.009573	0.4
47	-0.106171	26.045817	207.742271	0.006296	0.5
48	-0.118510	27.045817	203.418435	0.008725	0.4
49	-0.129894	26.338548	206.457638	0.011162	0.4
50	-0.114429	27.338548	202.186562	0.010353	0.4
51	-0.120318	28.338548	198.088619	0.008672	0.7
52	-0.110444	27.601958	201.090764	0.005746	0.7
53	-0.102152	28.597624	197.053892	0.007173	0.5
54	-0.126456	29.597624	193.159364	0.010193	0.4
55	-0.116006	30.597624	189.415793	0.014599	0.5
56	-0.097773	31.597624	185.814570	0.007433	0.5
57	-0.124524	32.597624	182.347726	0.009139	0.4
58	-0.093633	33.595785	179.013909	0.008239	0.4
59	-0.128453	32.859195	181.462143	0.011777	0.4
60	-0.144615	33.859195	178.154363	0.013908	0.4
61	-0.106139	33.122604	180.578983	0.007235	0.4
62	-0.101222	33.754586	178.494726	0.007710	0.4
63	-0.108044	33.017998	180.928675	0.006777	0.6
64	-0.128531	32.281542	183.429467	0.010612	0.5
65	-0.116278	31.544952	186.000834	0.008468	0.5
66	-0.110599	32.544952	182.527101	0.004994	0.5
67	-0.115354	31.835408	184.978318	0.005083	0.5
68	-0.116154	31.108083	187.560248	0.008198	0.5
69	-0.120938	32.108078	184.028592	0.009913	0.5
70	-0.121563	33.108078	180.627462	0.008145	0.4
71	-0.122972	32.371506	183.120276	0.006651	0.5
72	-0.105372	33.371466	179.752463	0.006952	0.5
73	-0.118410	32.634876	182.221078	0.007842	0.4
74	-0.132747	33.634876	178.885826	0.008300	0.4
75	-0.126007	34.634876	175.670472	0.011967	0.4
76	-0.112403	33.898285	178.027506	0.012752	0.5
77	-0.113304	34.898285	174.842659	0.007850	0.5
78	-0.137104	35.898285	171.769761	0.006470	0.4
79	-0.131403	35.167822	174.003630	0.010449	0.4
