1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.046328	0.000000	510.602350	0.002388	5.4
1	-0.042830	0.000000	510.602350	0.002442	0.5
2	-0.041518	0.992879	487.550972	0.002025	0.5
3	-0.050303	0.200865	505.764721	0.003952	0.7
4	-0.042223	1.193819	483.136733	0.002716	0.5
5	-0.039918	0.406641	500.902939	0.004074	0.5
6	-0.049324	1.402107	478.644690	0.002224	0.5
7	-0.050309	0.609659	496.197070	0.004760	0.5
8	-0.055525	0.000000	510.602350	0.005426	0.5
9	-0.051998	0.000000	510.602350	0.003290	0.5
10	-0.055686	0.000000	510.602350	0.002640	0.5
11	-0.064284	0.034609	509.762236	0.003547	0.4
12	-0.053862	0.000000	510.602350	0.004641	0.5
13	-0.059188	0.999985	487.393484	0.003488	0.4
14	-0.051858	1.999985	466.202451	0.001582	0.4
15	-0.042601	1.214593	482.684944	0.003728	0.4
16	-0.058702	2.211229	461.959563	0.002103	0.5
17	-0.066710	1.417852	478.308512	0.004212	0.4
18	-0.049290	2.410512	458.027111	0.003643	0.4
19	-0.062521	1.617095	474.094900	0.004006	0.4
20	-0.061451	2.617095	454.020674	0.004524	0.5
21	-0.048610	1.823677	469.803760	0.006980	0.4
22	-0.072175	1.030259	486.723698	0.002462	0.4
23	-0.059179	2.030258	465.589625	0.002758	0.5
24	-0.047746	1.239264	482.149472	0.005997	0.5
25	-0.046740	0.445847	499.987222	0.003357	0.5
26	-0.055701	1.445847	477.711955	0.003548	0.4
27	-0.064193	2.445847	457.336835	0.003867	0.4
28	-0.046325	3.442078	438.696303	0.002929	0.5
29	-0.059150	4.410687	421.973997	0.003120	0.6
30	-0.077280	3.620730	435.513052	0.001624	0.5
31	-0.060266	3.844440	431.591507	0.004958	0.7
32	-0.066650	4.840528	414.954731	0.001624	0.5
33	-0.056826	5.840515	399.494912	0.003192	0.4
34	-0.061327	5.047118	411.663556	0.003498	0.4
35	-0.057647	4.253701	424.597151	0.002248	0.7
36	-0.064858	3.676202	434.534020	0.003587	0.6
37	-0.067749	2.979865	447.152194	0.002795	0.5
38	-0.079185	2.187709	462.428145	0.003098	0.5
39	-0.066315	3.187709	443.309834	0.003671	0.4
40	-0.069313	2.395085	458.329153	0.002840	0.4
41	-0.066893	3.395085	439.541386	0.006465	0.4
42	-0.067563	2.601667	454.317458	0.005798	0.5
