1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.029576	0.000000	8.643171	0.013785	17.1
1	-0.024826	0.000000	8.643171	0.012970	0.4
2	-0.005613	0.984617	8.256073	0.005311	0.4
3	-0.014755	0.177510	8.570724	0.008393	0.4
4	-0.034282	0.000000	8.643171	0.011547	0.4
5	-0.015985	0.000000	8.643171	0.012628	0.4
6	-0.024586	0.917927	8.281194	0.009843	0.4
7	-0.017148	1.817694	7.954642	0.008238	0.5
8	-0.019476	2.816889	7.620920	0.005356	0.4
9	-0.029118	2.303562	7.788792	0.012339	0.4
10	-0.032847	2.138816	7.844247	0.009851	0.4
11	-0.026561	1.216491	8.169904	0.025304	0.4
12	-0.023889	0.294134	8.523784	0.019713	0.4
13	-0.034255	1.294134	8.141451	0.005284	0.4
14	-0.028542	0.786382	8.331195	0.008743	0.4
15	-0.025149	0.200928	8.561257	0.006430	0.4
16	-0.030816	1.197368	8.176942	0.023059	0.3
17	-0.029967	0.275154	8.531388	0.006501	0.4
18	-0.022976	0.000000	8.643171	0.008688	0.4
19	-0.025323	0.939257	8.273142	0.003294	0.4
20	-0.032157	0.076627	8.611748	0.006835	0.3
21	-0.039396	0.259769	8.537562	0.002770	0.4
22	-0.015959	0.000000	8.643171	0.003433	0.4
23	-0.030085	0.000000	8.643171	0.014210	0.3
24	-0.034290	0.255223	8.539388	0.005676	0.4
25	-0.027817	1.254523	8.155942	0.007052	0.4
26	-0.022484	0.758277	8.341956	0.009093	0.4
27	-0.034097	1.645075	8.015279	0.005775	0.4
28	-0.023305	0.889177	8.292070	0.007768	0.3
29	-0.018963	1.875616	7.934501	0.005839	0.3
30	-0.026654	2.853094	7.609352	0.005891	0.3
31	-0.019326	2.502050	7.723011	0.004521	0.3
32	-0.018282	2.851961	7.609714	0.004860	0.4
33	-0.022325	2.100341	7.857312	0.012405	0.4
34	-0.029641	1.184150	8.181814	0.012472	0.4
35	-0.016948	2.179707	7.830410	0.007340	0.6
36	-0.026951	3.178563	7.506922	0.014361	0.4
37	-0.028599	2.256223	7.804646	0.008454	0.3
38	-0.010820	3.246302	7.485950	0.008185	0.6
39	-0.022701	2.328896	7.780334	0.005115	0.4
40	-0.013097	3.313969	7.465116	0.001318	0.4
41	-0.019588	3.140507	7.518756	0.008855	0.4
42	-0.035637	2.695820	7.659857	0.022679	0.4
43	-0.019038	1.773463	7.970092	0.002535	0.4
44	-0.029098	2.086346	7.862075	0.013918	0.4
45	-0.015950	2.862712	7.606285	0.012818	0.5
46	-0.022920	1.940558	7.912039	0.010756	0.5
47	-0.033605	2.940540	7.581558	0.021693	0.5
48	-0.029787	3.940540	7.277573	0.002418	0.3
49	-0.029050	4.935181	6.998470	0.005744	0.5
50	-0.018353	4.543307	7.105838	0.003718	0.5
51	-0.034620	5.357652	6.886296	0.023347	0.3
52	-0.025363	6.020195	6.717442	0.009896	0.4
53	-0.038544	7.020188	6.477708	0.001941	0.3
54	-0.020081	7.696391	6.325067	0.014959	0.4
55	-0.030780	8.032047	6.251939	0.015000	0.4
56	-0.016827	9.032047	6.043764	0.004909	0.3
57	-0.027738	8.110407	6.235110	0.024118	0.4
58	-0.018470	7.355116	6.401194	0.004807	0.3
59	-0.026557	6.439825	6.614714	0.024763	0.4
60	-0.022062	7.439763	6.382142	0.004946	0.4
61	-0.021430	6.535857	6.591645	0.006122	0.4
62	-0.015348	7.434793	6.383257	0.005072	0.4
63	-0.020163	6.934188	6.497651	0.011183	0.4
64	-0.024328	7.903921	6.279653	0.007590	0.4
65	-0.034707	7.788149	6.304907	0.020025	0.3
66	-0.022976	6.865932	6.513566	0.011928	0.6
67	-0.021946	5.943574	6.736545	0.010937	0.5
68	-0.029874	6.943554	6.495473	0.022966	0.6
